"company_name";"address";"phone";"website";"municipality";"general_summary";"portfolio";"data_source";"company_url";"scraped_city";"scraped_at"
"MENDONÇA CARRÃO - ATELIER";"Lisbon, Portugal";"";"https://www.mc-a.pt/";"Lisbon";"INTERIOR DESIGN \ BUILDING DESIGN \ LICENSES & PERMITS \ BUDGET MANAGEMENT \ ENGINEERING PROJECTS \ CONSTRUCTION MANAGMENT \";"PORTUGUESE CENTER OF CHINESE MEDICINE: https://archello.com/project/portuguese-center-of-chinese-medicine | COFIDIS Work Lab: https://archello.com/project/cofidis-work-lab | LARANJEIRAS Apartment: https://archello.com/project/laranjeiras-apartment | BOOL Lisbon office: https://archello.com/project/bool-lisbon-office | OKAH Rootop & Restaurant: https://archello.com/project/okah-rootop-restaurant | WODIFY Lisbon Office: https://archello.com/project/wodify-lisbon-office";"Archello";"https://archello.com/brand/mendonca-carrao-atelier";"Lisbon";"2025-11-02T14:35:10.358457"
"Colectivo Warehouse";"Lisbon, Portugal";"00351 916 701 044";"http://www.warehouse.pt/";"Lisbon";"Colectivo Warehouse is a Lisbon based collective working across architecture, design and art. Since 2013, Warehouse has been working on different scales around Europe, deeply involved on cultural and social projects. Combining multi-disciplinary tools from architecture, urbanism, sociology, carpentry and design, it has been developing its own methodologies based on participation, engagement and co-creation that have been producing successful projects. Colectivo Warehouse provides the following services: Architecture, Design, Art installations, Tutoring, Mediation, Participative dynamics, Carpentry, Research and Consulting. We design and re-design, research, involve, experiment, learn and teach, prototype, build, engage, activate and celebrate. Then we disassemble, store and make it all again.
read in
Português";"Natural Construído: https://archello.com/project/natural-construido | Ma Bibliotheque: https://archello.com/project/ma-bibliotheque | Brincadeira Circular: https://archello.com/project/brincadeira-circular | Flagship Shelters / Bottle Collectors VIP: https://archello.com/project/flagship-shelters-bottle-collectors-vip | Cozinha Comunitária das Terras da Costa: https://archello.com/project/cozinha-comunitaria-das-terras-da-costa | SOPA DA PEDRA: https://archello.com/project/sopa-da-pedra";"Archello";"https://archello.com/brand/colectivo-warehouse-2";"Lisbon";"2025-11-02T14:35:30.506943"
"MMV Arquitectos";"Lisbon, Portugal";"";"http://www.mmvarquitectos.com/";"Lisbon";"“An architecture that defies conventions is an architecture we can love for many decades.” MMV “Even if we see ourselves as individuals that deliver creativity in architecture, one can never lose sight from efficiency and coordination, solid knowledge and monitoring specialties. In this profession, creativity alone is not an attribute in itself. It only gains true value when strengthened by a solid know how and, many times, by the ability of solving locally on the work spot, where surprises occur.” MMV Miguel Marques Venâncio is founder, manager and coordinating architect of MMVarchitects, located in Lisbon since 2008. His work experience is long, plural, and today, the studio performance lays on innovation and technical competence as priority standards for success. He believes in a transforming, humanized architecture based on artistical development as process, merging the function with an intrinsic beauty to unveil. This ductile character of architecture reinforces the studios search for the precise aspects that define the composition. These aspects will serve each project along with a skilled choice of materials and construction techniques. Whatever the program data for a space, the studios line of work stands in its ability to harmonize and balancing concepts. All the components are raw material to beneficially mold the space to its living, building timelessness bonds.
read in
Português";"Suspended Matter Box: https://archello.com/project/suspended-matter-box | arts studio 16: https://archello.com/project/arts-studio-16 | INDUSTRIAL SCULPTURE: https://archello.com/project/industrial-sculpture | DENTAL CLINIC: https://archello.com/project/dental-clinic | Designing in Teheran: https://archello.com/project/designing-in-teheran-3 | SPEECH CLINIC: https://archello.com/project/speech-clinic";"Archello";"https://archello.com/brand/mmv-arquitectos";"Lisbon";"2025-11-02T14:35:49.351456"
"KEMA studio";"Lisbon, Portugal";"";"http://www.kema.pt/";"Lisbon";"KEMA studio is a collaboration of two architects.
After years of experience gained in portuguese architectural offices, there emerged an idea to create their very own studio, based on innovation and creativity, and giving special attention to detail.
The studio began its practice in 2015 with renovations of “unwanted”, rejected properties, where discovery of their true potential and their return to existence could be achieved only by means of a profound study.
Our principle is to revive the spirit of reminiscence of each place with contemporary techniques and elements. In our belief, there is always a story to be discovered and told through a thorough intervention.
Though our main focus is renovation, we also develop new construction projects of various scales and functions.";"Vila Ferreira: https://archello.com/project/vila-ferreira | Marvila Attic: https://archello.com/project/marvila-attic | Duplex Porto: https://archello.com/project/duplex-porto | Rua Maria Loft: https://archello.com/project/rua-maria-loft";"Archello";"https://archello.com/brand/kema-studio";"Lisbon";"2025-11-02T14:36:05.211715"
"Pedro Cabrito + Isabel Diniz architects";"n/a, Lisbon, Portugal";"";"http://www.pcidarch.wordpress.com/";"Lisbon";"Pedro Cabrito and Isabel Diniz are working together since 2000, in their studio based in Lisbon. Their work combines formal and spatial experimentation with extreme constructive rigor and an ethic of sustainability in the choice and use of materials. This attitude is present in the numerous large scale exhibition projects completed over the last few years where their approach has been strongly influenced by neo-objectual art.The architectural practice of Pedro Cabrito + Isabel Diniz is thus characterized by processes of formalization based on a constant relationship with the images, stimuli and materiality of everyday life, without any language restriction, emphasizing its metaphorical and poetic value.";"Ilustrarte – Biennial International Exhibition: https://archello.com/project/ilustrarte-biennial-international-exhibition | ILUSTRARTE'16 exhibition design: https://archello.com/project/ilustrarte16-exhibition-design | ILUSTRARTE 2018, Biennial International Exhibition: https://archello.com/project/ilustrarte-2018-biennial-international-exhibition | Ilustrarte 2014 exhibition: https://archello.com/project/ilustrarte-2014-exhibition";"Archello";"https://archello.com/brand/pedro-cabrito-isabel-diniz-architects";"Lisbon";"2025-11-02T14:36:21.502673"
"BOOST studio";"Lisbon, Portugal";"";"http://www.booststudio.pt/";"Lisbon";"BOOST is an architectural practice based in Lisboa, Portugal, experienced in newly built and refurbishment projects. We work from the envisioning of the project to its construction, engaging our clients, the council, consultants and contractors throughout the process. We are constantly pursuing the best architectural, economical and social solutions, empowered by the rigour, excellence and ambition with which we embrace each and every challenge.";"Alegro Sintra: https://archello.com/project/alegro-sintra | INH41: https://archello.com/project/inh41 | TQ62: https://archello.com/project/tq62 | A5O125: https://archello.com/project/a5o125";"Archello";"https://archello.com/brand/boost-studio";"Lisbon";"2025-11-02T14:36:40.930593"
"IKEA Foundation";"Lisbon, Portugal";"+31 71524 9349";"http://www.ikeafoundation.org/Home";"Lisbon";"We're working toward a world where children living in poverty have more opportunities to create a better future for themselves and their families. Thanks to IKEA’s dedicated co-workers and customers, we were able to donate €82 million in 2012 to fund children’s programmes in some of the world's poorest communities.";"Nomad Cabins x IKEA: https://archello.com/project/nomad-cabins-x-ikea | UNHCR signs for 10,000 flat-pack shelters: https://archello.com/project/unhcr-signs-for-10000-flat-pack-shelters | Flat-pack refugee shelters: https://archello.com/project/flat-pack-refugee-shelters";"Archello";"https://archello.com/brand/ikea-foundation";"Lisbon";"2025-11-02T14:36:56.766194"
"Matos Gameiro arquitectos";"Av. Elias Garcia 20, 1 dto , Lisbon, Portugal";"+351 21 812 4761";"http://www.matosgameiro.com/";"Lisbon";"Matos Gameiro arquitectos is a Lisbon based architectural practice. Over the past 20 years the practice developed projects of a wide range of scales and program, resulting from private and public commissions.";"Grândola's Library and Municipal Archive: https://archello.com/project/grandolas-library-and-municipal-archive | House in Estremoz: https://archello.com/project/house-in-estremoz | House in Alfama: https://archello.com/project/house-in-alfama";"Archello";"https://archello.com/brand/matos-gameiro-arquitectos";"Lisbon";"2025-11-02T14:37:11.284886"
"Posto 9";"n/a, Lisbon, Portugal";"";"http://posto9.pt/";"Lisbon";"“POSTO 9” develops works in the scope of architecture, urbanism, and construction supervision, operating in various national and international geographical areas, and having particular vocation to act as a privileged partner in the development of projects in Portuguese-speaking territory. The entrepreneurial strategy consists on the excellence of service rendering and on a close relationship with the clients, supporting their investments in the quest for maximum quality with an effective cost control. The programmatic and geographical diversity of the elaborated projects is supported by an action of coordination of multidisciplinary teams, where companies accredited in the different technical areas participate. The “POSTO 9 arquitectos” company was founded in Lisbon in 2004, having as managing partners the architects: André Ferreira and Joana Castanheira.";"Veterinary Clinic: https://archello.com/project/veterinary-clinic | H Building: https://archello.com/project/h-building";"Archello";"https://archello.com/brand/posto-9";"Lisbon";"2025-11-02T14:37:29.843506"
"maxime mangold architect";"Lisbon, Portugal";"";"http://maximemangold.com/";"Lisbon";"Maxime Mangold is a young architect based in Lyon (France) and Lisbon (Portugal). Since 2019, he has been developing projects of different types at different scales. With the aim of simplicity and sustainability, the office conducts a reflection and specific support for each project. This results in a rational and fresh architectural language where each decision is taken transparently with the client for the benefit of the final object.";"O PIF: https://archello.com/project/o-pif | RÉVELER: https://archello.com/project/reveler";"Archello";"https://archello.com/brand/maxime-mangold-architect";"Lisbon";"2025-11-02T14:37:47.713826"
