company_name;address;phone;website;municipality;general_summary;portfolio;data_source;company_url;scraped_city;scraped_at
"Anarchlab, Architecture Laboratory";"R. do Almada, 152 4º andar, sala 1 4050-031 Porto, Portugal";"";"http://www.anarchlab.pt/";"Almada";"Company based in Oporto and Lisbon. Founded in 2013 and led by the architects Pedro Ribeiro da Silva and Pedro Barata. Each Anarchlab project is driven by a storytelling that adds small inventions to the world.";"Teresinha Carteiras Bolhão: https://archello.com/project/teresinha-carteiras-bolhao | Edifício Fábrica das Devesas: https://archello.com/project/edificio-fabrica-das-devesas";"Archello";"https://archello.com/brand/anarchlab-architecture-laboratory";"Almada";"2025-11-02T14:44:59.599621"
"ARQ TAILOR'S";"CHIADO - Rua Nova do Almada 95, 4ºD 1200-228 Lisboa, Portugal";"";"http://arqtailors.pt/";"Almada";"It is in Lisbon’s prestigious Bairro do Chiado that ARQ TAILOR’S develops its Architecture and Interior Design projects. In a sober and creative style, the tailor made projects signed by ARQ TAILOR´S stand out for their elegance in a unique and timeless style, creating functional and comfortable spaces aligned with the specific needs of individual clients. With a joyful and young team, the studio is known for the subtle blend of refinement and modernity in its projects, designed for both residential and commercial spaces for Portuguese and foreign clients. ARQ TAILOR´S also provides Landscaping and consultancy services in Arts and Antiques, offering its clients a wide range of very exclusive services.";"Sea Front Villa: https://archello.com/project/sea-front-villa | WINE DISTRICT: https://archello.com/project/wine-district";"Archello";"https://archello.com/brand/arq-tailors";"Almada";"2025-11-02T14:45:18.189690"
"Luis Pina Lopes - Studio";"Cascais, Portugal";"";"https://luispinalopes.com/";"Cascais";"Luis Pina Lopes – Studio is an architecture and design service that is quite different from what we usually know. Luis Pina Lopes – Studio go beyond geometry, terrain, materials, and objects. The development of each project focuses on 5 key values: Creativity, unity, vision, proximity and connection. The architecture and design carried out by my focus on the Being (Human), on its tangible as well as non-visible needs, my architecture and design focus on the soul of those who inhabit or use my spaces, and objects.
read in
Español
Português";"Cultural Café - Richmond: https://archello.com/project/cultural-cafe-richmond";"Archello";"https://archello.com/brand/luis-pina-lopes-studio";"Cascais";"2025-11-02T14:17:52.503400"
"L CAS - ARQUITECTURA";"Largo Dr. Passos Vella 9, Cascais, Portugal";"+351 214814451";"http://www.lcas.pt/";"Cascais";"L CAS' Architecture mission  is to create unforgettable spaces
read in
Deutsch
Português";"";"Archello";"https://archello.com/brand/l-cas-arquitectura";"Cascais";"2025-11-02T14:18:11.964620"
"Arkstudio";"Lisbon, Portugal";"+351 933327333";"https://arkstudio.pt/";"Lisbon";"Arkstudio is a multi disciplinary platform that combines Architecture, Interior Design, Styling and Photography, the platform was founded in 2013 by Margarida Matias and we work in the fields of architecture, renovation, interior design, styling and photography. Our motivation is to create cozy atmospheres, innovative solutions, and we place the user needs in the center of our proposals. The purpose of our research is to generate distinct ambiences that prioritize individual and collective well-being, combining an aesthetic with a functionality, and the legacy of Portuguese identity allied to the debugging of the Nordic language.";"Vale Palheiro Earth Resort: https://archello.com/project/vale-palheiro-earth-resort-2 | Santos private apartment: https://archello.com/project/santos-private-apartment-3 | Orquidea Cafe: https://archello.com/project/orquidea-cafe | Street Chow: https://archello.com/project/street-chow | House in the woods: https://archello.com/project/house-in-the-woods-8 | Teofilo Private Apartment: https://archello.com/project/teofilo-private-apartment | Restelo private apartment: https://archello.com/project/restelo-private-apartment | Mil Fontes Row Houses: https://archello.com/project/mil-fontes-row-houses-2";"Archello";"https://archello.com/brand/arkstudio";"Lisbon";"2025-11-02T14:30:07.679698"
"GV+Arquitectos";"R. Correia Teles 84B, Lisbon, Portugal";"+351 965 019 550";"https://www.gv-arquitectos.com/";"Lisbon";"GV+A Arquitectos has established itself in Portugal and Angola, founded on a clear vision: to create architecture that balances identity, function, and context. Since 2010, our practice in Angola has consolidated us as a structure with solid experience in residential, tourism, commercial, and rehabilitation projects, always attentive to the cultural and geographical specificities of each territory.
  Our mission is to transform spaces into life experiences — from the urban scale to the detail of interiors — seeking solutions that combine innovation, sophistication, and sustainability. Architecture is seen as a curatorial process, where each decision has weight and purpose, reflecting the values of GV+A: rigor, creativity, and commitment to quality.
  With a portfolio that covers architecture and engineering projects, rehabilitation, interiors, construction management and supervision, our work is distinguished by its ability to integrate multiple disciplines, ensuring consistency and excellence at every stage.
  More than just responding to functional programs, we believe that each project should dialogue with its surroundings, respect the memory of the place, and open up new possibilities for the future. This is the approach—client-centered, rooted in the territory, and guided by a contemporary vision —that defines GV+A as a benchmark in the current architectural landscape.
read in
Deutsch
Português";"Vila Pima: https://archello.com/project/vila-pima | Terraços de Bragança: https://archello.com/project/terracos-de-braganca | Nova Vida School: https://archello.com/project/nova-vida-school | Unitel Innovation Center: https://archello.com/project/unitel-innovation-center | Bungo Market: https://archello.com/project/bungo-market | CR80: https://archello.com/project/cr80 | Sidonio Pais: https://archello.com/project/sidonio-pais | Alcoutins 33: https://archello.com/project/alcoutins-33";"Archello";"https://archello.com/brand/gvarquitectos";"Lisbon";"2025-11-02T14:30:27.086206"
"Pedra Silva Arquitectos";"Travessa Corpo Santo 10 1d, Lisbon, Portugal";"+351 21 715 62 10";"http://www.pedrasilva.com/";"Lisbon";"Pedra Silva Arquitectos is an architecture and interior design studio based in Lisbon, founded in 2003 by Luis Pedra Silva. Their portfolio encompasses works across diverse typologies and scales, both in Portugal and abroad, with a focus on Healthcare, high-end Residential & Hospitality, and Office & Workplace design, having been recognised with a number of awards and publications, both nationally and internationally.
...more
read in
Português";"Aethos Ericeira Hotel: https://archello.com/project/aethos-ericeira-hotel | Optylon Krea Offices: https://archello.com/project/optylon-krea-offices | Clínica Barreiro: https://archello.com/project/clinica-barreiro-2 | Clínica Carnaxide: https://archello.com/project/clinica-carnaxide | Clip Concept Store: https://archello.com/project/clip-concept-store | Biogen Offices: https://archello.com/project/biogen-offices | Twist Clinic: https://archello.com/project/twist-clinic | Maida Smiles Clinic: https://archello.com/project/maida-smiles-clinic";"Archello";"https://archello.com/brand/pedra-silva-arquitectos";"Lisbon";"2025-11-02T14:30:39.855379"
"arriba";"n/a, Lisbon, Portugal";"";"http://www.arriba.pt/";"Lisbon";"Architecture surrounds you every minute. At Arriba we want to enhance how you experience your everyday life through the reinterpretation of the spaces you live in, from the door handle, to the street, to the city. We want you to take a step further and enjoy all of what a perfectly tailored space has to offer.";"Casa de Hóspedes: https://archello.com/project/casa-de-hospedes | Hernani Cidade: https://archello.com/project/hernani-cidade | Entrecampos: https://archello.com/project/entrecampos | Capitão Leitão: https://archello.com/project/capitao-leitao | Mouraria: https://archello.com/project/mouraria | Bica do Sapato: https://archello.com/project/bica-do-sapato | Ajuda: https://archello.com/project/ajuda | Graça: https://archello.com/project/graca";"Archello";"https://archello.com/brand/arriba";"Lisbon";"2025-11-02T14:31:02.041463"
"Camarim";"Campo Grande no. 10e, Lisbon, Portugal";"";"http://www.camarim.pt/";"Lisbon";"Camarim is the architectural office created by Vasco Correia and Patrícia Sousa in 2007. We are at the moment involved in a series of very different projects, ranging from small, low-budget housing renovations for end-users to medium-size public buildings with innovative programs. We work in close dialogue with the clients, consultants, contractors and end users, in a collaborative process of production, so that each project translates a holistic solution: informed, intelligent and innovative. After the project, we continue actively involved in its construction and completion. Though we are a young company, we have attracted the attention of the media from countries like Argentina, Brasil*, Canada, Chile, China, Dubai*, Italy, Mexico*, Portugal and the United Kingdom. Our effort to produce energy-efficient designs was recognized by France5 (French National Broadcaster), who included us in a documentary about sustainable building in December 2009. Most importantly, designs like Casa Tropical have gained the recognition of the local community as an added-value to their town; we believe this was achieved because of our pursuit for excellence in conception and execution of each project. The following is a mind-frame that guides our approach to the architectural practice: Camarim is an architecture laboratory where we study the spatial arrangement of human activities. We operate on various programmes, budgets and scales – from the city to the tools of everyday life – and we approach each project as an opportunity to explore new solutions, in relation to the specificities of the program and the physical and cultural context. We aim to design systems that are durable, functional, flexible, energy efficient, beautiful: we seek spaces and materials with the potential to generate complex mental landscapes from visual, tactile, acoustical and aromatic input, landscapes that evolve throughout the day, the seasons and life, as a living organism.";"Garden No. 2 – Limburg: https://archello.com/project/garden-no-2-limburg | House No. 7 – Avenidas Novas: https://archello.com/project/house-no-7-avenidas-novas | House No. 11 – Santa Isabel: https://archello.com/project/house-no-11-santa-isabel | Apartment No. 10 + Office n.º 1 – Limburg: https://archello.com/project/apartment-no-10-office-n-1-limburg | Guacamole 2: https://archello.com/project/guacamole-2 | A029: https://archello.com/project/a029 | Delgada 1: https://archello.com/project/delgada-1 | DG2: https://archello.com/project/dg2";"Archello";"https://archello.com/brand/camarim";"Lisbon";"2025-11-02T14:31:21.818075"
"PROMONTORIO";"R. Fabrica Material Guerra, 10, Lisbon, Portugal";"+351218620970";"http://www.promontorio.net/";"Lisbon";"A five-partner firm lead by Paulo Martins Barata, Joao Luis Ferreira, Paulo Perloiro, Pedro Appleton and Joao Perloiro, PROMONTORIO is a full-service architecture, planning, landscaping, interior design and graphics team that began in Lisbon in 1990 as an experimental studio. It consistently grew into a practice of fifty architects, planners, landscape architects, interior designers and graphic designers. Underlying its approach to the urban form, the work of PROMONTORIO has often been identified with the pursuit of a ‘system of robustness’ (i.e. solidity, stability and durability) both in terms of representational meaning and technical research. This in turn, has been implemented and tested in vast construction sites and under challenging time and budget constrains. Our process springs from a dynamic and focused design culture that fosters collaboration above all. This cohesive and interactive structure enables us to deal with large and complex projects both in terms of design and programme. Ranging from schools, museums and cultural institutions, to housing, offices, hotels and retail, PROMONTORIO has accomplished projects in Algeria, Angola, Brazil, Bulgaria, Cape Verde, China, Dubai, Germany, Hungary, Italy, Georgia, Mozambique, Portugal, Qatar, Romania, Serbia, Spain, Switzerland, Turkey and Vietnam, having established partnerships in many of these. The work of PROMONTORIO has been widely published in A10, Area, Architectural Review, Architecti, Arqa, Arquitectura Viva, A+T, Detail, 2G, Domus, Expresso, Prototypo, Público, JA, Lotus, Techniques & Architecture, The Plan, etc. Our work has received various international awards and has been presented in conferences and lectures in Austria, Brazil, Finland, France, Germany, Holland, Italy, Portugal, UK and the USA. It was exhibited, among others, in the 9th Venice Architecture Biennial, in La Triennale di Milano, in Arc en rêve (Bordeaux), in Cornell University (Ithaca), and more recently in Aedes Gallery (Berlin).";"Viceroy at Ombria, Algarve: https://archello.com/project/viceroy-at-ombria-algarve | Casa da Volta: https://archello.com/project/casa-da-volta | Telheiras Housing: https://archello.com/project/telheiras-housing | Matosinhos Retail Park: https://archello.com/project/matosinhos-retail-park | Patio House: https://archello.com/project/patio-house-10 | Embassy of Egypt: https://archello.com/project/embassy-of-egypt | A SQUARE IN SUMMER: https://archello.com/project/a-square-in-summer | GS1 Portugal: https://archello.com/project/gs1-portugal";"Archello";"https://archello.com/brand/promontorio";"Lisbon";"2025-11-02T14:31:42.115966"
