"company_name";"address";"phone";"website";"municipality";"general_summary";"portfolio";"data_source";"company_url";"scraped_city";"scraped_at"
"José Adriao Architects";"Lisbon, Portugal";"+351 21 362 07 62";"http://www.joseadriao.com/";"Sintra";"José Adrião Arquitectos is a structure that works in collaboration with different professionals, including engineers, landscape architects, and visual artists. On a project level, the intervention searches for diversity in terms of order and scale. The interventions on territory and landscape or on smaller scale projects such as housing, equipments or services, allow the studio to strength strategies which are based on an extensive knowledge, allowing for distinct and specific proposals for each case. Taking the standard as a starting point, aims to create non-normative proposals that result on informal, heterogeneous and inclusive spaces.";"Casa Santo António: https://archello.com/project/casa-santo-antonio | Eugaria: https://archello.com/project/eugaria | Douradores: https://archello.com/project/douradores | Borges Carneiro: https://archello.com/project/borges-carneiro | Praia do Estoril: https://archello.com/project/praia-do-estoril | Praça Fonte Nova: https://archello.com/project/praca-fonte-nova | CASA DOS PRAZERES: https://archello.com/project/casa-dos-prazeres | Casa da Severa: https://archello.com/project/casa-da-severa";"Archello";"https://archello.com/brand/jose-adriao-architects";"Sintra";"2025-11-01T22:03:28.448875"
"fssmgn arquitectos lda FernandoSanchezSalvador MargaridaGrácioNunes";"Rua Maestro António Taborda 17, Lisboa, Portugal";"+351 213 978 130";"http://www.fssmgn.com/";"Sintra";"In 1979, in Lisbon, Fernando Sanchez Salvador founds with Margarida Grácio Nunes, FSSMGN Arquitectos, Lda., developing activity in the field of Architecture and Urbanism (diverse General and Detailed Urbanization Plans), with various projects and works on public and private buildings, interventions for rehabilitation and restoration of buildings, remodeling of interiors and design of furniture and other objects. Awarded in severel national and international architectural competitions, as well as in competitions by invitation from public institutions.";"LUXfrágil: https://archello.com/project/luxfragil | Altis Belém Hotel & Spa: https://archello.com/project/altis-belem-hotel-spa | Exhibition Res Publica, 1910 and 2010 Face to Face - Calouste Gulbenkian Fundation: https://archello.com/project/exhibition-res-publica-1910-and-2010-face-to-face-calouste-gulbenkian-fundation | Bica do Sapato - Restaurant, Cafeteria and Sushi-bar: https://archello.com/project/bica-do-sapato-restaurant-cafeteria-and-sushi-bar | Manuel Alves & José Manuel Gonçalves's Store: https://archello.com/project/manuel-alves-jose-manuel-goncalvess-store | House Rua da Bela Vista: https://archello.com/project/house-rua-da-bela-vista | NYX Bar-Discoteca-Lounge - Tróia Design Hotel: https://archello.com/project/nyx-bar-discoteca-lounge-troia-design-hotel | Restaurante SALINAS - Tróia Design Hotel: https://archello.com/project/restaurante-salinas-troia-design-hotel";"Archello";"https://archello.com/brand/fssmgn-arquitectos-lda-fernandosanchezsalvador-margaridagracionunes";"Sintra";"2025-11-01T22:03:45.323791"
"Ines Brandao Arquitectura";"R. Pinto Ferreira, 18, 1dto, Lisboa, Portugal";"";"http://www.inesbrandao.com/";"Sintra";"BIOGRAPHY
Architecture has been Inês Brandão’s greatest passion since her early years.
Over the past few years, she has developed a special interest in detail, promoted by the observation of the world around her, in her daily life and her travels.
...more";"Apartamento Campolide: https://archello.com/project/apartamento-campolide | Conde Building: https://archello.com/project/conde-building-2 | Loft Benformoso: https://archello.com/project/loft-benformoso | HOSTEL SELINA BOAVISTA ERICEIRA: https://archello.com/project/hostel-selina-boavista-ericeira | Fisherman's house: https://archello.com/project/fishermans-house-3 | Cork House: https://archello.com/project/cork-house-5 | House in Crato: https://archello.com/project/house-in-crato | Atelier House: https://archello.com/project/atelier-house";"Archello";"https://archello.com/brand/ines-brandao-arquitectura";"Sintra";"2025-11-01T22:04:03.961526"
"Filipe Pina Arquitectura";"Rua Dr. António Júlio, 18-A, 6300-553 Guarda, Portugal";"";"https://fp-a.pt/";"Sintra";"filipe pina arquitectura is an Architecture Studio created by Filipe Pina in 2015, located in Guarda, in the interior of Portugal.
Our previous collaborations, both national and international, together with the different partnerships we initiated allow us to undertake endeavours and challenges, irrespective of their size and scale.
We aim at working at the edge of vernacular and contemporary, trying to reflect local realities and experiencing people’s daily life. Turning these experiences into projects is the result of a constant intellectual quest and a close relationship with our clients. Ultimately, the main outcome of our work is the execution of economic and sustainable buildings of the highest possible quality standards.
In 2014, with the JA House project, it was shortlisted for the “Best of Architecture” from DomusWeb. The following year, that same project was one of the finalists for “Building of the Year Award” from Archdaily.
In 2018 he was included in the list of Young Talents of Portuguese Architecture, by Archdaily Brasil.
In 2019 he was included in the Portuguese Modern Architecture | 10 Firms to know, by Azure Magazine.
In 2022 he is a finalist for the Forma Architecture Awards in the Emerging Youth category and the Construir 2022 Awards, both with the project Casa NaMora.
In 2022 with the project Casa NaMora:Archilovers | Best Project;Architonic | Top 5 residential project of the year; Domus | Best Houses of the year;Dezeen | Top 10 Houses Extensions.
In 2023, Casa Caldeira won the first edition of the STONEBYPORTUGAL-ASSIMAGRA award, in the Innovation category.";"Casa da Trincheira: https://archello.com/project/casa-da-trincheira | House in Bencanta: https://archello.com/project/house-in-bencanta | The Vagar – Country House: https://archello.com/project/the-vagar-country-house | Caldeira House: https://archello.com/project/caldeira-house | Casa NaMora: https://archello.com/project/casa-namora | MCR2: https://archello.com/project/mcr2 | Frei Pedro: https://archello.com/project/frei-pedro | Gafanha: https://archello.com/project/gafanha";"Archello";"https://archello.com/brand/filipe-pina-arquitectura";"Sintra";"2025-11-01T22:04:16.306815"
"Adriano Pimenta Architects";"Rua Eugénio de Castro 280, Porto, Portugal";"00 351 938 291 442";"https://www.adrianopimentaarquitetos.com/";"Sintra";"Since 2007, as an individual designer and co-author with several other authors such as the architect Eduardo Souto de Moura, my large-scale works is correlated to the development of projects related to transport including the 1st place in the contest for the high-speed Line, section Poceirão/Caia on the Lisbon-Madrid axis. I also held the technical feasibility study of implementation of a VLT subway system in Cuiabá-Várzea Grande in Brazil, the International Contest for Intermodal Station of Ourense in Spain, the International Contest of Intermodal and Commodities Station Caia /Badajoz, and the International Competition for the High-Speed Line Lisbon/Poceirão section in the Lisbon-Madrid axis. I have also participated in the contest of contract for the design and construction of the new Águas Santas tunnel on the Porto/Amarante freeway. In the development of urban revitalization some projects stand out, namely the Rehabilitation of the Historic Centre of Ribeira Grande in Azores as well as the Ordainment Plan of the Hydrographical Basin of Lagoa das Sete Cidades and the development of the Waterfront Project of Lagoa das Sete Cidades, both works on São Miguel Island, Azores. I also have developed housing projects with diverse typologies, from single family housing, collective housing, condos and controlled cost housings as well school buildings.";"Campanhã High-Speed Train Station: https://archello.com/project/campanha-high-speed-train-station | St Ovidio High-Speed Train Station: https://archello.com/project/st-ovidio-high-speed-train-station | Madalena Residences: https://archello.com/project/madalena-residences | Pêro de Alenquer Houses: https://archello.com/project/pero-de-alenquer-houses | DPV: https://archello.com/project/dpv | Combatentes House: https://archello.com/project/combatentes-house-2 | Dwelling Houses in Sete Cidades: https://archello.com/project/dwelling-houses-in-sete-cidades | Kopke Condo: https://archello.com/project/kopke-condo";"Archello";"https://archello.com/brand/adriano-pimenta-architects";"Sintra";"2025-11-01T22:04:29.881669"
"Tsou Arquitectos";"Porto, Portugal";"";"http://www.tsouarquitectos.com/";"Sintra";"We believe in architecture with meaning, attentive to the essence of the place, designed in a feasible way and constructed in a responsible manner. ARCHITECTURE WITH MEANING We believe that architecture can enhance the surrounding for whom it was created, responding to their needs and aspirations. THE ESSENCE OF THE PLACE The consistency of the architectural proposal is based on suitability to the characteristics of the place. The architectural solution is developed in a straight dialogue with its context. We create spaces that celebrate the unique characteristics of each place. FEASIBLE ARCHITECTURE Results in the adequacy of the principles of design and construction to the predetermined conditions, according to the building process and the materials characteristics. RESPONSABLE CONSTRUCTION The carefull and intelligent use of the materials, ensures the efficiency and adequacy of the construction in a sustainable manner.
read in
Português";"Casa da Levada: https://archello.com/project/casa-da-levada | Casa de Sintra: https://archello.com/project/casa-de-sintra | Farmácia da Devesa: https://archello.com/project/farmacia-da-devesa | Casa Vertical: https://archello.com/project/casa-vertical | MOOD Medicina Dentária: https://archello.com/project/mood-medicina-dentaria | Ópticas Pitães: https://archello.com/project/opticas-pitaes | Óptica Queirós: https://archello.com/project/optica-queiros | NOVAÓPTICA – Optic store: https://archello.com/project/novaoptica-optic-store";"Archello";"https://archello.com/brand/tsou-arquitectos";"Sintra";"2025-11-01T22:04:52.430430"
"VISIOARQ - ARQUITECTOS";"Coimbra, Portugal";"+351239722524";"http://www.visioarq.pt/";"Sintra";"Visioarq has been treading its own path since 1998, a path that reflects its vision for a distinctive architecture: original conceptual quality that skilfully balances aesthetics & function.
Relying on technology, innovation, integration and sustainability, Visioarq’s architecture challenges the logic of materials through a language of precision and detail, which is also reflected in its organisational attitude, design and the type of projects it develops.
With its very own methodologies based on collaborative and multidisciplinary work, each space is treated in the office as unique, in a commitment that extends from the concept to the monitoring of the execution and which ensures faithfulness to the design, whatever the context, geography or culture.
Based in Portugal, Visioarq operates globally by means of local teams and has a respectable portfolio in various sectors, especially in the high-end Residential, Tourism and Health segments, in Europe, Africa, and Asia.
Qualified to meet all architectural challenges, the company also boasts a wide range of competencies – Architecture, Interior Design, Urban Design, and Design – combined in a mix that perfectly balances the impossible and whose merit has already been awarded many prizes and has been published in works of reference.
read in
Português";"JUNTA FREGUESIA S. BRÁS ALPORTEL: https://archello.com/project/junta-freguesia-s-bras-alportel | Renaissance Porto Lapa Hotel: https://archello.com/project/renaissance-porto-lapa-hotel-2 | JAC HOUSE: https://archello.com/project/jac-house | MG Coudelaria: https://archello.com/project/mg-coudelaria | RCR House: https://archello.com/project/rcr-house | RR House: https://archello.com/project/rr-house | QL House: https://archello.com/project/ql-house | Igreja Velha Palace: https://archello.com/project/igreja-velha-palace";"Archello";"https://archello.com/brand/visioarq-arquitectos";"Sintra";"2025-11-01T22:05:12.330734"
"ATELIER JQTS";"Rua Luis de Camões, 114 r/c, Algés, Portugal";"+ 351] 914146887";"http://www.atelierjqts.com/";"Sintra";"ATELIER JQTS is a young architecture practice developing their work between Lisbon, Hamburg and Madrid. Established in 2012 by João Quintela and Tim Simon, their work consists in a serial research into the wide field of Architecture as a fundamental discipline combined with a process of learning from the empirical knowledge. João Quintela, Lisbon, Portugal Graduated in Architecture by Universidade Autónoma de Lisboa and Politécnico di Milano. Master in Architecture at Escuela Técnica Superior de Arquitectura de Madrid where currently is developing his PhD Thesis. Worked with Pezo von Ellrichshausen in Chile. Curator of KAIROS Pavilion with Tim Simon and Fabrícia Valente. Co-editor of the chilean visual arts edition ANIMITA PAPEL with Oscar Concha. In 2015 was teaching assistant at Suffolk University and since 2012 is teaching assistant at UD Campo Baeza at ETSAM Madrid. Tim Simon, Mölln, Germany Graduated in Architecture by Universität der Künste Berlin and Universidade Autonóma de Lisboa. Worked with different architects such as Max Dudler Architekten in Germany or Pezo Von Ellrichshausen in Chile. Curator of KAIROS Pavilion with João Quintela and Fabrícia Valente. In 2013 was teaching assistant at the HafenCity Universität Hamburg with Paolo Fusi and since 2015 is teaching assistant at Fakultät für Architektur, Technische Universität München with Uta Graff.
read in
Deutsch";"UNTITLED HOUSE: https://archello.com/project/untitled-house | Ulisseia: https://archello.com/project/ulisseia | Gallery Pavilion: https://archello.com/project/gallery-pavilion | VIATICUS PAVILION: https://archello.com/project/viaticus-pavilion | NOVERCA HOUSE: https://archello.com/project/noverca-house | Vertigo Pavilion: https://archello.com/project/vertigo-pavilion | POVERA PAVILION: https://archello.com/project/povera-pavilion | KAIROS PAVILION: https://archello.com/project/kairos-pavilion";"Archello";"https://archello.com/brand/atelier-jqts";"Sintra";"2025-11-01T22:05:29.601643"
"P-06 Atelier";"pç guilherme gomes fernandes, 28A , Paço de Arcos, Portugal";"+ 351 214 467 367";"http://www.p-06-atelier.pt/";"Sintra";"P-06 Atelier is an international award-winning firm specializing in communication and environmental design on a wide range of scales. Based in Lisbon, Portugal, the studio was founded in 2006 by partners Nuno Gusmão, Estela Estanislau, Pedro Anjos and Catarina Carreira. It has since undertaken a variety of projects from complex, large scale wayfinding systems, museum and exhibition design, to communication and editorial design for the printed page, with a bold, striking style that has garnered a number of distinctions. P-06 Atelier actively engages in collaborations with architects, urbanists, landscape designers and engineers, in a continuous, seamless workflow with complementing disciplines, enriching the firm’s scope of work and amplifying every intervention’s outcomes.";"Casa de São Lourenço – Burel Panorama Hotel: https://archello.com/project/casa-de-sao-lourenco-burel-panorama-hotel | Cockburn’s 1815 Lodge (wine cellars): https://archello.com/project/cockburns-1815-lodge-wine-cellars | Burel Panorama Hotel: https://archello.com/project/burel-panorama-hotel | Skin, Pavilion of Knowledge: https://archello.com/project/skin-pavilion-of-knowledge | MEGALITHIC MUSEUM: https://archello.com/project/megalithic-museum | Capela Jesus Mestre: https://archello.com/project/capela-jesus-mestre | Water Museum: https://archello.com/project/water-museum | Uralchem Headquarters: https://archello.com/project/uralchem-headquarters";"Archello";"https://archello.com/brand/p-06-atelier";"Sintra";"2025-11-01T22:05:45.004881"
"Cerejeira Fontes Architects (Imago-Atelier de)";"Rua de S.João nº. 8, Braga, Portugal";"+351 253 265 211";"https://cerejeirafontesarchitects.com/en/";"Sintra";"Imago is an architectural design and engineering firm located in Braga, Portugal. For 15 years we have provided programming and full design services for various projects. The firm is organized in multiple departments: Architectural, Engineering, Urban planning, Interior design and Project Management. In each of these departments, there are collegues from the University of Minho collaborating with us. Projects vary from residential, commercial, institutional to urban planning.";"Imaculada Conceição and Cheia de Graça Chapels: https://archello.com/project/imaculada-conceicao-and-cheia-de-graca-chapels | Barcelos High School: https://archello.com/project/barcelos-high-school | Jøssingfjord: https://archello.com/project/jossingfjord | Spinpark - Cultural and Enterprise Center: https://archello.com/project/spinpark-cultural-and-enterprise-center | Casa Vila Verde: https://archello.com/project/casa-vila-verde | Tree of Life Chapel: https://archello.com/project/tree-of-life-chapel | Nogueró Residence: https://archello.com/project/noguero-residence | Brufe Social Center: https://archello.com/project/brufe-social-center";"Archello";"https://archello.com/brand/cerejeira-fontes-architects-imago-atelier-de";"Sintra";"2025-11-01T22:06:00.865157"
