"company_name";"address";"phone";"website";"municipality";"general_summary";"portfolio";"data_source";"company_url";"scraped_city";"scraped_at"
"KWY.studio";"Lisboa, Portugal";"";"http://www.kwy.studio/";"Torres Vedras";"KWY.studio is a multidisciplinary platform investigating the nature of collaboration within the context of specific projects. Founded in 2009 in Berlin and Los Angeles, KWY’s projects are collaborations between the principals and invited specialists. Recent collaborators include artists, writers, curators, educators, designers and other architects. With few initial preconceptions, each project begins with dialogue and analysis between the collaborators. This process-oriented methodology often leads to diverse thoughts that are otherwise unexpected and unimaginable.";"Desert X AlUla 2024 Visitor Centre: https://archello.com/project/desert-x-alula-2024-visitor-centre | Desert X AlUla 2022 Visitor Centre: https://archello.com/project/desert-x-alula-2022-visitor-centre | Origin: https://archello.com/project/origin-3 | Interspecies Campus: https://archello.com/project/interspecies-campus | Mesa: https://archello.com/project/mesa | Play Contract: https://archello.com/project/play-contract | Desert X AlUla 2020 Visitor Centre: https://archello.com/project/desert-x-alula-2020-visitor-centre | Gallery Pavilion: https://archello.com/project/gallery-pavilion";"Archello";"https://archello.com/brand/kwystudio";"Torres Vedras";"2025-11-02T12:55:40.632832"
"AZO. Sequeira Arquitectos Associados Lda";"-, Portugal";"";"http://www.azoarq.com/";"Torres Vedras";"AZO Sequeira Architects Associates is a full‐service architecture and planning studio with a widely experience in project development, details and management, as also the monitoring of the work. This studio has accomplished projects and constructions in every field, ranging from health, industrial and services industry to housing, hotels and retail. Our main strategy is to develop projects in the national market and, over the years, we have consolidated an international status, due to our contemporary, innovative and creative approach. With a more and more competitive market, it was necessary to develop a more versatile working process that would allow us to respond to every challenge with effectiveness, consistency and vanguard. The basis of our credibility in the market is making the deadlines and, therefore, the main reason of our success. Our team is composed by architects dedicated to rendering, so that our clients can be active participants through all the project process development. We want every project to be creative and, through its integration, to endure, reaching a level of a pure and functional work of art.
read in
Português";"Castro Group Headquarters: https://archello.com/project/castro-group-headquarters | Apartment in São Vitor: https://archello.com/project/apartment-in-sao-vitor | House in Soutelo: https://archello.com/project/house-in-soutelo | House in Nogueiró: https://archello.com/project/house-in-nogueiro-2 | House in Espinho: https://archello.com/project/house-in-espinho | House in Guimarães: https://archello.com/project/house-in-guimaraes | House in Felgueiras: https://archello.com/project/house-in-felgueiras | House in Bonfim: https://archello.com/project/house-in-bonfim";"Archello";"https://archello.com/brand/azo-sequeira-arquitectos-associados-lda";"Torres Vedras";"2025-11-02T12:55:57.938373"
"Ren Ito Arq.";"Rua Dom João IV, Porto, Portugal";"643 4000-303";"http://www.ren-ito.com/";"Torres Vedras";"Ren Ito Arq. is architectural design office based in Porto, Portugal. We treat all type of architecture, including residence, hotel, restaurant, medical clinic, school.";"Casa Kala: https://archello.com/project/casa-kala | Casa de São Verissimo: https://archello.com/project/casa-de-sao-verissimo | Casa da Calçada: https://archello.com/project/casa-da-calcada | House in Campo Lindo: https://archello.com/project/house-in-campo-lindo | Rua da Torrinha 316: https://archello.com/project/rua-da-torrinha-316 | Casa Guilherme: https://archello.com/project/casa-guilherme | Rebelo House: https://archello.com/project/rebelo-house | Dental Clinic in Porto: https://archello.com/project/dental-clinic-in-porto";"Archello";"https://archello.com/brand/ren-ito-arq";"Torres Vedras";"2025-11-02T12:56:13.365486"
"Mayer & Selders";"1a. vereda da capela 5a, Arco da Calheta, Portugal";"";"http://www.mayerselders.pt/";"Torres Vedras";"We combine your needs and preferences in terms of space, style, materials, function and budget with the key characteristics of the place.
The special climate on Madeira Island, environmental issues, history, architectural tradition and future developments are taken into account and result in a harmonious architecture. This creates projects which blend into the landscape and are individually tailored to the client.
We have special experience with small and large scale tourism projects , residential building, refurbishment or renovation and extension of traditional Madeiran Stone Houses and ecologic / sustainable construction . We manage your project from the first concept to construction supervision.
With years of experience in Madeira, our team of architects helps you to evaluate a building plot or existing building or to find one that suits you, and to develop a project to realize your wishes on that location. Also with bureaucratic matters from land purchase and registration to internet connection we can help.
    read in
Português
Deutsch";"casa JT: https://archello.com/project/casa-jt | Rock Villas: https://archello.com/project/rock-villas | Pé de Cacau: https://archello.com/project/pe-de-cacau | casa com patio: https://archello.com/project/casa-com-patio | Casa CCC: https://archello.com/project/casa-ccc | Casa Atlântico: https://archello.com/project/casa-atlantico | Casa Miradouro: https://archello.com/project/casa-miradouro | Casa PEC: https://archello.com/project/casa-pec";"Archello";"https://archello.com/brand/mayer-selders";"Torres Vedras";"2025-11-02T12:56:32.494171"
"EXTRASTUDIO";"R‌ua Praia de Pedrouços 110, 1.º R , Lisboa, Portugal";"213 214 797";"http://www.extrastudio.pt/";"Torres Vedras";"EXTRASTUDIO is a global oriented, Lisbon based architecture office with a practice that spans from housing to public space. The diversity of its projects is the answer to the different scales and programs required by current demands. João Ferrão and João Costa Ribeiro, established EXTRASTUDIO in 2003, after common collaborations that come from Faculdade de Arquitectura UTL were they got their degree in Architecture, in 2000. In 2007, it was included on the Top Ten Portuguese Architects Under 40 by the organization New Italian Blood [www.newitalianblood.com]. Since 2003 it has been awarded in several architecture competitions: São Jacinto Natural Park Headquarters [2nd prize, 2009] Valdebebas Urban Park, Madrid [Honorable Mention, 2009], Légua’s Beach Re-qualification [1st prize, 2008], Cenário Urbano public space [1st prize, 2007], Salgados/Gale masterplan [2nd prize, 2006]; Montesinho Natural Park Headquarters [2nd prize, 2005]; Europan 6, Budapest, Hungary [1st prize, 2001]. The office as recently completed Légua’s Beach redevelopment in Alcobaça, Portugal. Besides public space, several projects are currently under development and construction in Lisbon, Dublin, Setúbal, Tavira, Vila do Conde, Santarem, Sintra and Sesimbra. The organic concrete, a material developed and patented by the office, was awarded with an Organic Award in 2005 and an Honorable mention in the 2008 Green Project Awards and is currently being developed in a joint venture with the Portuguese firm AMOP.";"Casa Plaj: https://archello.com/project/casa-plaj | TWIN HOUSES: https://archello.com/project/twin-houses-3 | House for an Artist: https://archello.com/project/house-for-an-artist-2 | Red House: https://archello.com/project/red-house-8 | FUGAS LUSAS: https://archello.com/project/fugas-lusas | Three Courtyard House: https://archello.com/project/three-courtyard-house | House in Alto da Ajuda: https://archello.com/project/house-in-alto-da-ajuda | Cafe in Sintra: https://archello.com/project/cafe-in-sintra";"Archello";"https://archello.com/brand/extrastudio";"Torres Vedras";"2025-11-02T12:56:51.108925"
"waataa";"R. Eduardo António Coimbra, 46, Tondela, Portugal";"";"http://waataa.pt/";"Torres Vedras";"The atelier is dedicated to the provision of architectural services and design, seeking always a balance between discernment (reason) and feeling (emotion) in the architectonical creation. The creation process develops from the early stage of consulting and advice, the development of the projects, coordination, monitoring, supervision, and finally the work’s delivery. It is a 360º integrated perspective, multifaceted, dynamic, critical and interactive. Each situation is unique such as each client. So, the client is not an occasional partner, but an intervenient that participates actively in the entire process and must be understood in the full extent of his relationship with the atelier and the project. For us, architecture is a matter of relations. Our projects are grounded on a stable and transversal basis, where the intertwining of context, idea and experience materializes every architectural work. It is with these proto-elements that we design. The work, the synthesis point, has as its central purpose to seek and find Beauty, placing it at the service of the client and of the society. We do not understand Beauty as a subjective criterion that is often associated. Being beautiful or ugly is not what we seek. Beauty goes far beyond aesthetic criteria. For us, the Beauty in architecture is in the truth of the design, the idea, the materialization and the experience; when it is the result of the development of an accurate idea anchored to the context, establishing a coherent structure in accordance with the materials chosen by logic criteria, culminating in the pleasurable experience (perception, comprehension and interpretation) of the work. An architecture without ideas anchored to the context, without the conscious of its own experience, of the materials, lights, shadows, colors, scale and proportion, is simply a construction. This is not what we want. We want to produce architecture!";"Casa da Póvoa: https://archello.com/project/casa-da-povoa | Meeting House: https://archello.com/project/meeting-house-2 | CM HOUSE: https://archello.com/project/cm-house-4 | Quinta do Carregal: https://archello.com/project/quinta-do-carregal | PD House: https://archello.com/project/pd-house-2 | HF Supermarket: https://archello.com/project/hf-supermarket | FB Office: https://archello.com/project/fb-office | BY Studios: https://archello.com/project/by-studios";"Archello";"https://archello.com/brand/waataa";"Torres Vedras";"2025-11-02T12:57:06.661159"
"Filipa Figueira Arquitectura";"Porto, Portugal";"";"http://www.filipafigueira.com/";"Torres Vedras";"Office based in the City of Porto. Focusing it’s work in the commercial area and Urban Rehabilitation. We developed projects in several areas and locations, with projects of single and collective housing, commercial, public buildings among others. With a network of technicians we present customized solutions for each project. From a set of parallel but complementary activities, we highlight the co-production of the documentary series “Arquitectura à moda do Porto”, widely shared in specialized media. __ 2013 - 8th place - International Competetion of Ideias Norte 41º Porto. Urban Regeneration of a Block Aurifícia 2010 - TOP20 - MOCCA - Museum of Cartoon and Comic Art __ Conference Serão da Bonjóia, Porto, 7 de Agosto de 2014 Conference ""Arquitectura à Moda do Porto"" Moustache Café, Porto, April 22, 2014 __ Exhibition of the works of the Competition to the Preservation Corridor for the Lung Tsun Stone Bridge Remnants, Hong Kong, January to March 2014 Exhibition of the works of the International Competition of Ideas Norte 41º, Urban Regeneration of a Block Aurifícia, Porto, Casa das Artes, 24 October to 7 November 2013 Exhibition of Intervention in Architectural Heritage Archaeological, Complex of Carvalheiras, Braga, building GNRation, Braga, 10 to 24 May 2013 Exhibition of the final project, Expansion of the Cemetery of Moreira da Maia, Junta de Freguesia de Moreira da Maia, Maia, Portugal, 2010";"Com Cuore: https://archello.com/project/com-cuore | Rehabilitation of House Salzedas: https://archello.com/project/rehabilitation-of-house-salzedas | Competition “SuckerPunch competition – Museum of Comic and Cartoon art (MOCCA)”, Nova York: https://archello.com/project/competition-suckerpunch-competition-museum-of-comic-and-cartoon-art-mocca-nova-york | House Reabilitation Lidador: https://archello.com/project/house-reabilitation-lidador | Clinic Bebe 4D: https://archello.com/project/clinic-bebe-4d | Socio-Cultural Center: https://archello.com/project/socio-cultural-center | Quarteirão Aurifícicia: https://archello.com/project/quarteirao-aurificicia";"Archello";"https://archello.com/brand/filipa-figueira-arquitectura";"Torres Vedras";"2025-11-02T12:57:27.170513"
"Atelier Bruno Martins";"Funchal, Portugal";"";"http://atelierbrunomartins.com/";"Torres Vedras";"Achitecture Firm Based in Madeira Island, Portugal | Atelier Bruno Martins
Under the coordination of Bruno Martins, the studio is part of this new generation of architects, which combines research and analysis, formal experimentation, social responsibility, and a strong sense of integration between architectural object and territory.
 We believe in always working with the best, ensuring in our projects the balance between art and economy, always innovating in our processes and ensuring full respect for the client's objectives.
-
  Bruno Martins - Architect by profession, was also a researcher and councilman in the City Council of Funchal, with the areas of urbanism, planning, rehabilitation and mobility. He is currently managing partner of Atelier Bruno Martins.
read in
Português";"Casa Reis Nunes: https://archello.com/project/casa-reis-nunes-2 | Casa Cabeço: https://archello.com/project/casa-cabeco-3 | Fábrica da Manteiga: https://archello.com/project/fabrica-da-manteiga-2 | Casa Santo da Serra: https://archello.com/project/casa-santo-da-serra-2 | Casa Francisco Gomes: https://archello.com/project/casa-francisco-gomes | Spa: https://archello.com/project/spa-4 | Casa Alves Sardinha: https://archello.com/project/casa-alves-sardinha | Pestana Casino Studios: https://archello.com/project/pestana-casino-studios-2";"Archello";"https://archello.com/brand/atelier-bruno-martins";"Torres Vedras";"2025-11-02T12:57:39.855887"
"Paralelo Zero Architecture";"Largo do Chiado nº 15 Fracção A - 1200-108 Lisboa, Portugal";"";"https://www.paralelozero.pt/home";"Torres Vedras";"Founded in 2013, PARALELOZERO has become a leading force in project development, specializing in residential, office, civic, and hotel projects. With a decade of organic growth, our success is rooted in unwavering dedication to client challenges, bolstering our reputation in the industry.
Notably, we stand out in the design of tech-oriented office spaces, offering strong
architectural concepts that seamlessly merge aesthetics with functionality in hybrid and flexible environments. Our approach prioritizes client engagement
and collaboration with project teams, resulting in distinctive, personalized solutions that embody innovation and sophistication.
As we’ve grown, our company size has expanded, solidifying our global presence
with projects all over the country. PARALELOZERO is recognized not only
for its specific expertise but also for its general market reputation, underlining our commitment to excellence on a broad scale.";"AROWANA Office: https://archello.com/project/arowana-office | Uniplaces Headquarters: https://archello.com/project/uniplaces-headquarters | Manuel Bernardes Building: https://archello.com/project/manuel-bernardes-building | VALE DE ABELHA HOUSE: https://archello.com/project/vale-de-abelha-house | Seedrs Office Lisbon: https://archello.com/project/seedrs-office-lisbon | Talkdesk Lisbon: https://archello.com/project/talkdesk-lisbon | BIZAY | 360 Imprimir: https://archello.com/project/bizay-360-imprimir | IndieCampers Offices: https://archello.com/project/indiecampers-offices";"Archello";"https://archello.com/brand/paralelo-zero-architecture";"Torres Vedras";"2025-11-02T12:57:53.843752"
"SALWORKS, LDA.";"Rua Professor Machado Macedo 24 , Ponta Delgada São Miguel, Portugal";"(+351) 296 28 38 38";"http://www.sal.works/";"Torres Vedras";"Based in São Miguel island, Azores, Salworks is a multidisciplinary team structured around the key disciplines of architecture, design and programming that aim to deliver design projects for our clients by creating exceptional environments and enriching web solutions, result from a collaborative process of incorporating architecture, design and web development. Salworks operates as a laboratory for creative design providing innovative solutions while designing and developing real estate and residential properties for its corporate and private clients and imagine new ways to solve the challenges of the built environment.";"HOUSE NVC: https://archello.com/project/house-nvc | House JR: https://archello.com/project/house-jr-2 | House TR: https://archello.com/project/house-tr | POPULO TOURIST APARTMENTS: https://archello.com/project/populo-tourist-apartments | LIBERALS PARK: https://archello.com/project/liberals-park | House Nv: https://archello.com/project/house-nv | HOUSE MP: https://archello.com/project/house-mp | 2M house: https://archello.com/project/2m-house-2";"Archello";"https://archello.com/brand/salworks-lda";"Torres Vedras";"2025-11-02T12:58:09.355520"
