company_name;municipality;address;specialization;legal_name;general_summary;data_source;phone;contact_email;website;portfolio_url;year_founded;tax_id
"Volume - Architecture Lisbon Studio, Lda";"Lisbon";"R PROFESSOR SOUSA DA CÂMARA 199 1ºDTO., 1070-216, CAMPOLIDE LISBOA, LISBOA";"Atividades de arquitectura";"Volume - Architecture Lisbon Studio, Lda";"Resumo empresarial da sociedade Volume - Architecture Lisbon Studio, Lda. Na conservatória do registo comercial, Volume - Architecture Lisbon Studio, Lda está inscrita como LDA. O desempenho da sua atividade empresarial é de 3 anos. A atividade principal está enquadrada na atividade CINI pertencente a Atividades de arquitectura. Os últimos dados registados em Empresite mostram que a última revisão dos dados empresariais foi no dia 02 de junho de 2025. A localização da empresa encontra-se na cidade de CAMPOLIDE LISBOA, que pertence ao distrito de LISBOA. A sede está localizada no endereço de R PROFESSOR SOUSA DA CÂMARA 199 1ºDTO., 1070-216.";"Empresite";"";"";"";"";"";""
"Casustainable Architecture, Lda";"Lisbon";"R MARCOS MARREIROS 21, 1200-254, MISERICORDIA LISBOA, LISBOA";"Atividades de arquitectura";"Casustainable Architecture, Lda";"Encontre mais informação empresarial da Casustainable Architecture, Lda. Casustainable Architecture, Lda é uma sociedade registada nos organismos oficiais como LDA. Desde a data de constituição, esta empresa tem estado a exercer a sua atividade por mais de 5 anos. A principal ocupação da empresa é a atividade CINI relacionada com Atividades de arquitectura. A atualização dos dados empresariais registados em Empresite é da data 25 de julho de 2025. Se precisar de visitar o escritório desta empresa, pode fazê-lo no seguinte endereço R MARCOS MARREIROS 21, 1200-254. Esta localização encontra-se na cidade de MISERICORDIA LISBOA, cujo distrito é LISBOA.";"Empresite";"";"";"";"";"";""
"Sw Architecture, Unipessoal, Lda";"Lisbon";"R MARQUÊS DA FRONTEIRA 131 1ºESQ., 1070-293, AVENIDAS NOVAS LISBOA, LISBOA";"Atividades de arquitectura";"Sw Architecture, Unipessoal, Lda";"Conheça os dados relevantes da empresa Sw Architecture, Unipessoal, Lda. Sw Architecture, Unipessoal, Lda está inscrita na conservatória do registo comercial sob a forma jurídica de UNIP. Já tem 4 anos de experiência desempenhada no sector ao qual pertence. A empresa está inscrita na atividade CINI que envolve o desenvolvimento de Atividades de arquitectura. A última atualização dos dados da Sw Architecture, Unipessoal, Lda data do dia 23 de julho de 2025. Pode encontrar a sede desta empresa no endereço R MARQUÊS DA FRONTEIRA 131 1ºESQ., 1070-293. Este endereço localiza-se na cidade de AVENIDAS NOVAS LISBOA, que pertence ao distrito de LISBOA, em Portugal.";"Empresite";"";"";"";"";"";""
"Prata Architecture, Unipessoal, Lda";"Lisbon";"LG REPÚBLICA DA TURQUIA 5 3ºD, 1750-250, LUMIAR LISBOA, LISBOA";"Atividades de arquitectura";"Prata Architecture, Unipessoal, Lda";"Mais informação sobre a empresa Prata Architecture, Unipessoal, Lda. A empresa Prata Architecture, Unipessoal, Lda está registada como uma UNIP. Desde a data de fundação, a empresa tem estado a exercer a sua atividade por mais de 2 anos. A empresa está inscrita com o desenvolvimento da atividade pertencente a Atividades de arquitectura. Em Empresite, os últimos dados registados desta sociedade são da data 16 de julho de 2025. Interessa-lhe visitar a sede da empresa? Pode fazê-lo no endereço LG REPÚBLICA DA TURQUIA 5 3ºD, 1750-250, localizado na cidade LUMIAR LISBOA, no distrito de LISBOA.";"Empresite";"";"";"";"";"";""
"Archizest - Architecture, Lda";"Lisbon";"AV CARLOS SILVA 35, 2780-354, UNIÃO DAS FREGUESIAS DE OEIRAS E SÃO JULIÃO DA BARRA, UNIAO FREGUESIAS OEIRAS SAO JULIAO BARRA PACO ARCOS CAXIAS, LISBOA";"Atividades de arquitectura";"Archizest - Architecture, Lda";"Encontre mais informação empresarial da Archizest - Architecture, Lda. Archizest - Architecture, Lda é uma sociedade registada nos organismos oficiais como LDA. Desde a data de constituição, esta empresa tem estado a exercer a sua atividade por mais de 11 anos. A principal ocupação da empresa é a atividade CINI relacionada com Atividades de arquitectura. A atualização dos dados empresariais registados em Empresite é da data 23 de outubro de 2025. Se precisar de visitar o escritório desta empresa, pode fazê-lo no seguinte endereço AV CARLOS SILVA 35, 2780-354, UNIÃO DAS FREGUESIAS DE OEIRAS E SÃO JULIÃO DA BARRA. Esta localização encontra-se na cidade de UNIAO FREGUESIAS OEIRAS SAO JULIAO BARRA PACO ARCOS CAXIAS, cujo distrito é LISBOA.";"Empresite";"";"";"";"";"";""
"Openbook Architecture, Unipessoal, Lda";"Lisbon";"AV CONSELHEIRO FERNANDO DE SOUSA 19 8º, 1070-072, CAMPOLIDE LISBOA, LISBOA";"Atividades de arquitectura";"Openbook Architecture, Unipessoal, Lda";"Todos os dados empresariais da empresa Openbook Architecture, Unipessoal, Lda. Openbook Architecture, Unipessoal, Lda está inscrita nos organismos oficiais de Portugal sob a forma jurídica de UNIP. 18 anos é a experiência que esta empresa tem no sector. De acordo com os dados registados, a empresa desenvolve o seu trabalho em Atividades de arquitectura. 12 de agosto de 2025 é a data da última atualização de dados empresariais. O endereço desta empresa é AV CONSELHEIRO FERNANDO DE SOUSA 19 8º, 1070-072, este endereço pertence localidade CAMPOLIDE LISBOA e ao distrito de LISBOA.";"Empresite";"";"";"";"";"";""
"Reddy Architecture, Unipessoal, Lda";"Lisbon";"AV DUQUE DE LOULÉ 110, 1050-093, SANTO ANTONIO LISBOA, LISBOA";"Atividades de arquitectura";"Reddy Architecture, Unipessoal, Lda";"Encontre mais informação empresarial da Reddy Architecture, Unipessoal, Lda. Reddy Architecture, Unipessoal, Lda é uma sociedade registada nos organismos oficiais como UNIP. A principal ocupação da empresa é a atividade CINI relacionada com Atividades de arquitectura. A atualização dos dados empresariais registados em Empresite é da data 13 de fevereiro de 2025. Se precisar de visitar o escritório desta empresa, pode fazê-lo no seguinte endereço AV DUQUE DE LOULÉ 110, 1050-093. Esta localização encontra-se na cidade de SANTO ANTONIO LISBOA, cujo distrito é LISBOA.";"Empresite";"";"";"";"";"";""
"Blsm Architecture, Lda";"Lisbon";"R VIEIRA DA SILVA 45, 1350-342, ESTRELA LISBOA, LISBOA";"Atividades de arquitectura";"Blsm Architecture, Lda";"Informação empresarial da Blsm Architecture, Lda. Na conservatória do registo comercial, a Blsm Architecture, Lda está registada sob a forma jurídica de LDA. Em função dos últimos dados da CINI, a dedicação principal está relacionada com Atividades de arquitectura. O último dado registado da empresa Blsm Architecture, Lda data do dia 26 de junho de 2025. O endereço da empresa é R VIEIRA DA SILVA 45, 1350-342. O endereço localiza-se na cidade de ESTRELA LISBOA do distrito de LISBOA.";"Empresite";"";"";"";"";"";""
"Unless - Design And Architecture, Lda";"Lisbon";"R DAS PEDREIRAS 20 1ºA, 1400-007, BELEM LISBOA, LISBOA";"Atividades de arquitectura";"Unless - Design And Architecture, Lda";"Dados relevantes da sociedade Unless - Design And Architecture, Lda. A forma jurídica da Unless - Design And Architecture, Lda registada na conservatória do registo comercial é LDA. A partir da data de constituição, esta empresa tem já 5 anos de experiência e dedicação ao sector a que pertence. A principal atividade que a empresa desenvolve está relacionada com Atividades de arquitectura. A última atualização dos dados empresariais foi em 28 de julho de 2025. Esta empresa encontra-se na localidade de BELEM LISBOA, que pertence ao distrito de LISBOA, cujo endereço é R DAS PEDREIRAS 20 1ºA, 1400-007.";"Empresite";"";"";"";"";"";""
"Lna - Architecture, Unipessoal, Lda";"Lisbon";"R IVENS 42, 1200-227, SANTA MARIA MAIOR LISBOA, LISBOA";"Atividades de arquitectura";"Lna - Architecture, Unipessoal, Lda";"Aumente a informação empresarial da Lna - Architecture, Unipessoal, Lda. Lna - Architecture, Unipessoal, Lda é uma sociedade inscrita nos organismos oficiais de Portugal sob a forma jurídica de UNIP. O tempo que tem estado a operar no sector é de 10 anos. A atividade empresarial desenvolvida por esta empresa é Atividades de arquitectura. O dia 17 de setembro de 2025 é a data da última atualização empresarial que temos registada em Empresite. Esta empresa tem o seguinte endereço R IVENS 42, 1200-227, que se encontra na localidade de SANTA MARIA MAIOR LISBOA e pertence ao distrito de LISBOA na Portugal.";"Empresite";"";"";"";"";"";""
