company_name;industry;address;phone;website;municipality;data_source
"Maria da Conceição Ribeiro Cruz";"Architect";"Largo Gago Coutinho s/n, 2580-355 Alenquer, Portugal";"+351 964 010 837";"";"alenquer";"Google Maps"
"FIREPLAN — consultoria e projetos, Lda";"Architect";"R. Sacadura Cabral 54 1º esq, 2580-371 Alenquer, Portugal";"+351 263 738 054";"";"alenquer";"Google Maps"
"Bilden Alenquer";"Architect";"Av. 25 de Abril nº 74 A, 2580-367 Alenquer, Portugal";"+351 263 036 614";"";"alenquer";"Google Maps"
"Bilden Alenquer";"Architect";"Av. 25 de Abril nº 74 A, 2580-367 Alenquer, Portugal";"+351 263 036 614";"";"alenquer";"Google Maps"
"Bilden Alenquer";"Architect";"Av. 25 de Abril nº 74 A, 2580-367 Alenquer, Portugal";"+351 263 036 614";"";"alenquer";"Google Maps"
"Bilden Alenquer";"Architect";"Av. 25 de Abril nº 74 A, 2580-367 Alenquer, Portugal";"+351 263 036 614";"";"alenquer";"Google Maps"
"Bilden Alenquer";"Architect";"Av. 25 de Abril nº 74 A, 2580-367 Alenquer, Portugal";"+351 263 036 614";"";"alenquer";"Google Maps"
"Bilden Alenquer";"Architect";"Av. 25 de Abril nº 74 A, 2580-367 Alenquer, Portugal";"+351 263 036 614";"";"alenquer";"Google Maps"
"Bilden Alenquer";"Architect";"Av. 25 de Abril nº 74 A, 2580-367 Alenquer, Portugal";"+351 263 036 614";"";"alenquer";"Google Maps"
"Decorar gesso 3d";"Interior designer";"R. José Saramago, 2580-662 Alenquer, Portugal";"+351 932 539 680";"";"alenquer";"Google Maps"
"Decorar gesso 3d";"Interior designer";"R. José Saramago, 2580-662 Alenquer, Portugal";"+351 932 539 680";"";"alenquer";"Google Maps"
"Decorar gesso 3d";"Interior designer";"R. José Saramago, 2580-662 Alenquer, Portugal";"+351 932 539 680";"";"alenquer";"Google Maps"
"Decorar gesso 3d";"Interior designer";"R. José Saramago, 2580-662 Alenquer, Portugal";"+351 932 539 680";"";"alenquer";"Google Maps"
"Decorar gesso 3d";"Interior designer";"R. José Saramago, 2580-662 Alenquer, Portugal";"+351 932 539 680";"";"alenquer";"Google Maps"
"Decorar gesso 3d";"Interior designer";"R. José Saramago, 2580-662 Alenquer, Portugal";"+351 932 539 680";"";"alenquer";"Google Maps"
"Decorar gesso 3d";"Interior designer";"R. José Saramago, 2580-662 Alenquer, Portugal";"+351 932 539 680";"";"alenquer";"Google Maps"
"Decorar gesso 3d";"Interior designer";"R. José Saramago, 2580-662 Alenquer, Portugal";"+351 932 539 680";"";"alenquer";"Google Maps"
"Quinta de Meca";"Farm";"Portugal";"";"https://paroquia-de-santa-quiteria-de-meca.webnode.pt/";"alenquer";"Google Maps"
"Quinta de Meca";"Farm";"Portugal";"";"https://paroquia-de-santa-quiteria-de-meca.webnode.pt/";"alenquer";"Google Maps"
"Quinta de Meca";"Farm";"Portugal";"";"https://paroquia-de-santa-quiteria-de-meca.webnode.pt/";"alenquer";"Google Maps"
"Quinta de Meca";"Farm";"Portugal";"";"https://paroquia-de-santa-quiteria-de-meca.webnode.pt/";"alenquer";"Google Maps"
"Quinta de Meca";"Farm";"Portugal";"";"https://paroquia-de-santa-quiteria-de-meca.webnode.pt/";"alenquer";"Google Maps"
"Quinta de Meca";"Farm";"Portugal";"";"https://paroquia-de-santa-quiteria-de-meca.webnode.pt/";"alenquer";"Google Maps"
"Quinta de Meca";"Farm";"Portugal";"";"https://paroquia-de-santa-quiteria-de-meca.webnode.pt/";"alenquer";"Google Maps"
"FS Design";"Graphic designer";"";"+351 917 330 932";"";"alenquer";"Google Maps"
"PERFECCIONISMO";"Architect";"P. João Gonçalves Zarco, 2580-484 Carregado, Portugal";"+351 966 259 775";"https://www.welinkbuilders.pt/remodelacao/reabilitacao/construcao-de-imoveis/ladrilhador/carpinteiro/pedreiro/pintor/canalizador/estucador/serralheiro/2580-484-carregado-portugal/perfeccionismo-273";"alenquer";"Google Maps"
"Madalena Pereira arquitectura";"Architect";"R. Guilherme Gomes Fernandes 9A, 2560-319 Torres Vedras, Portugal";"+351 261 060 324";"http://www.madalenapereira.com/";"alenquer";"Google Maps"
"Madalena Pereira arquitectura";"Architect";"R. Guilherme Gomes Fernandes 9A, 2560-319 Torres Vedras, Portugal";"+351 261 060 324";"http://www.madalenapereira.com/";"alenquer";"Google Maps"
"Madalena Pereira arquitectura";"Architect";"R. Guilherme Gomes Fernandes 9A, 2560-319 Torres Vedras, Portugal";"+351 261 060 324";"http://www.madalenapereira.com/";"alenquer";"Google Maps"
"Madalena Pereira arquitectura";"Architect";"R. Guilherme Gomes Fernandes 9A, 2560-319 Torres Vedras, Portugal";"+351 261 060 324";"http://www.madalenapereira.com/";"alenquer";"Google Maps"
