company_name;industry;address;phone;website;municipality;data_source
"Makers Embassy - Atelier de Arquitectura Moderna, Almada";"Architect";"R. Conde Ferreira 3, 2800-016 Almada, Portugal";"+351 912 031 098";"https://makers-embassy.com/";"almada";"Google Maps"
"M3M";"Architect";"Av. 25 de Abril de 1974 41A 1ºDto, 2800-303 Almada, Portugal";"+351 913 122 416";"https://www.instagram.com/m3m.pt/?hl=pt";"almada";"Google Maps"
"estúdio AMATAM, arquitectura | design | urbanismo";"Architect";"Rua do Regil 1A, 2805-234 Almada, Portugal";"+351 963 556 396";"https://estudioamatam.com/";"almada";"Google Maps"
"AtelieARQ_Arquitectos & Construção Lda";"Architect";"Av. Prof. Egas Moniz nº 24 7º Dto, 2800-065 Almada, Portugal";"+351 968 070 438";"https://www.ateliearq.pt/";"almada";"Google Maps"
"Gomes Barreto - Atelier de Arquitectura";"Architect";"R. Torcato José Clavine 15C 1drt, 2800-592 Almada, Portugal";"+351 919 847 511";"http://www.gomesbarreto.pt/";"almada";"Google Maps"
"Urban Obras Almada";"Architect";"R. do Cabo da Boa Esperança nº41A, 2805-109 Almada, Portugal";"+351 21 276 5464";"https://www.urbanobras.pt/orcamento/";"almada";"Google Maps"
"Atelier 28 Arquitectos";"Architect";"R. Cap. Leitão 28 1º Esquerdo, 2800-132 Almada, Portugal";"";"http://www.arqatelier28.com/";"almada";"Google Maps"
"Arkhi - Arquiteto - Almada";"Architect";"Quarteirão das Artes, R. Conde Ferreira 3, 2800-251 Almada, Portugal";"";"https://arkhi.pt/";"almada";"Google Maps"
"TECTO STUDIO";"Architecture firm";"Tv. da Praia 1, 2805-193 Almada, Portugal";"";"http://tectostudio.com/";"almada";"Google Maps"
"TECTO STUDIO";"Architecture firm";"Tv. da Praia 1, 2805-193 Almada, Portugal";"+351 962 520 975";"http://www.logikevidence.com/";"almada";"Google Maps"
"Plotarch Studio";"Architecture firm";"R. Dr. António José de Almeida 29B 3º 7, 2805-084 Almada, Portugal";"+351 910 878 240";"https://www.plotachstudio.com/";"almada";"Google Maps"
"Um Cem Arquitectura Lda";"Architect";"R. Maj. Castelino Pais 8 A, 2805-113 Almada, Portugal";"+351 21 276 3196";"https://umcem.pt/";"almada";"Google Maps"
"Hedape - Arquitectura e Engenharia";"Civil engineering company";"R. Rosas do Pombal 22, 2805-238 Almada, Portugal";"+351 21 274 3350";"https://hedape.wixsite.com/hedape";"almada";"Google Maps"
"Arqar - Certificação Energética";"Architect";"";"";"";"almada";"Google Maps"
"Doutor Martelo";"Home builder";"R. Maj. Castelino Pais 10, 2805-113 Almada, Portugal";"+351 919 682 087";"http://www.doutormartelo.pt/";"almada";"Google Maps"
"DCInterior";"Interior designer";"R. José Gomes Alvarenga 13A, 2805-182 Almada, Portugal";"+351 910 341 717";"https://www.instagram.com/dcinterior.design/";"almada";"Google Maps"
"Husimo - Real Estate & Home Designers";"Real estate agent";"Business Center, R. Marcos de Assunção 2D, 2805-290 Almada, Portugal";"+351 932 257 157";"https://www.husimo.com/";"almada";"Google Maps"
"ACArq.";"Architect";"R. António Nobre 1D 3D, 2800-260 Almada, Portugal";"+351 927 034 871";"";"almada";"Google Maps"
"Levantamentos arquitetonicos e topograficos";"Architect";"2855-202 Corroios, Portugal";"+351 915 140 808";"http://www.davfre.jimdofree.com/";"almada";"Google Maps"
"M3M Arquitetura";"Architect";"Av. 25 de Abril de 1974 41A, 2800-303 Almada, Portugal";"+351 913 122 416";"http://m3m.pt/";"almada";"Google Maps"
"Martina Arch | Lisboa";"Architect";"Praça, Largo Adelino Amaro da Costa 8 2ºD, 1100-006 Lisboa";"924 234 507";"https://www.martinaarch.com/";"almada";"Google Maps"
"BMA Group Lisboa - Magic Place";"Construction Company";"Rua Rui Teles Palhinha 10 2.º F, 2740-278 Porto Salvo";"912 424 724";"http://www.bmagrouplisboa.pt/";"almada";"Google Maps"
"ARCHFACTOR, LDA.";"Architect";"R. Ramiro Ferrão 29, 2805-356 Almada, Portugal";"+351 21 193 7458";"http://www.archfactor.com/";"almada";"Google Maps"
