company_name;industry;address;phone;website;municipality;data_source
"HBD Design e Publicidade";"Graphic designer";"Rua Boaventura Duarte, 2550-008 Cadaval, Portugal";"+351 915 412 822";"";"mafra";"Google Maps"
"Arquitectura Em Movimento, Unipessoal Lda.";"Landscaper";"R. 25 de Abril 23, 2550-165 Cadaval, Portugal";"+351 262 185 300";"";"mafra";"Google Maps"
"Rui Viola Arquitecto, Lda";"Architect";"Praça José Pereira de Carvalho, 2540-044 Bombarral, Portugal";"+351 262 604 095";"";"mafra";"Google Maps"
"uNico";"Interior designer";"";"+351 969 493 183";"https://www.unicotuin.com/";"mafra";"Google Maps"
"Nora - Arquitetura Paisagista, Lda";"Landscape architect";"Largo Nossa Sra. da Purificação 15, Famões, 2540-189 Bombarral, Portugal";"+351 932 775 282";"";"mafra";"Google Maps"
"IGBX Arquitectos";"Corporate office";"Avenida Inocência Cairel Simão Nº21 R/C Esq. Lote 4, 2540-003 Bombarral, Portugal";"+351 917 009 757";"http://www.igbxarquitectos.com/";"mafra";"Google Maps"
"Cadaval-Solà Morales";"Architect";"Avenir #1a ppal 1a, 08006 Barcelona, Spain";"+34 934 14 37 14";"http://www.ca-so.com/";"mafra";"Google Maps"
"Manuel Tojal Architects";"Architect";"R dos Heróis da Grande Guerra 33 LJ - R/C, 2500-215 Caldas da Rainha, Portugal";"+351 262 603 100";"http://www.manuelcachaotojal.com/";"mafra";"Google Maps"
"Broadway Malyan";"Architect";"Estação do Rossio, Largo do Duque de Cadaval 17 1.º Esq, 1200-160 Lisboa, Portugal";"+351 21 321 9440";"http://www.broadwaymalyan.com/";"mafra";"Google Maps"
"Brindes M&L Personalizados";"Graphic designer";"";"+351 962 434 800";"https://www.brindesml.com/";"mafra";"Google Maps"
"David Ferreira";"Architect";"R. Bernardo Martins 43, 2550-380, Portugal";"+351 915 140 808";"http://www.davfre.jimdofree.com/";"mafra";"Google Maps"
