"company_name","industry","address","phone","website","municipality","data_source",logo_url
"Oficina do Bairro - Arquitetura | RemodelaÃ§Ãµes | Design","Architect",,"+351 933 793 848",,"alcochete","Google Maps",
"Arte Urbana - SoluÃ§Ãµes em Arquitetura","Architect","îƒˆLargo AntÃ³nio Santos Jorge 10, 2890-022 Alcochete, Portugal","+351 934 007 279",,"alcochete","Google Maps",
"Narquitetos","Architect","îƒˆR. dos MaracujÃ¡s 83, 2890-566 Alcochete, Portugal","+351 926 130 713","http://www.narquitetos.com/","alcochete","Google Maps",
"LNRD Arquitetura e Design","Architect",,"+351 912 619 060","https://www.instagram.com/lnrd.arquiteturaedesign/","alcochete","Google Maps",
"Atelier Do Ã“","Architect","îƒˆSN44, Estr. do Brejo Comprido, 2890-168 Alcochete, Portugal",,"https://www.odajoana.pt/","alcochete","Google Maps",
"Maria da ConceiÃ§Ã£o Ribeiro Cruz","Architect","îƒˆLargo Gago Coutinho s/n, 2580-355 Alenquer, Portugal","+351 964 010 837",,"alenquer","Google Maps",
"FIREPLAN â€” consultoria e projetos, Lda","Architect","îƒˆR. Sacadura Cabral 54 1Âº esq, 2580-371 Alenquer, Portugal","+351 263 738 054",,"alenquer","Google Maps",
"Bilden Alenquer","Architect","îƒˆAv. 25 de Abril nÂº 74 A, 2580-367 Alenquer, Portugal","+351 263 036 614",,"alenquer","Google Maps",
"Bilden Alenquer","Architect","îƒˆAv. 25 de Abril nÂº 74 A, 2580-367 Alenquer, Portugal","+351 263 036 614",,"alenquer","Google Maps",
"Bilden Alenquer","Architect","îƒˆAv. 25 de Abril nÂº 74 A, 2580-367 Alenquer, Portugal","+351 263 036 614",,"alenquer","Google Maps",
"Bilden Alenquer","Architect","îƒˆAv. 25 de Abril nÂº 74 A, 2580-367 Alenquer, Portugal","+351 263 036 614",,"alenquer","Google Maps",
"Bilden Alenquer","Architect","îƒˆAv. 25 de Abril nÂº 74 A, 2580-367 Alenquer, Portugal","+351 263 036 614",,"alenquer","Google Maps",
"Bilden Alenquer","Architect","îƒˆAv. 25 de Abril nÂº 74 A, 2580-367 Alenquer, Portugal","+351 263 036 614",,"alenquer","Google Maps",
"Bilden Alenquer","Architect","îƒˆAv. 25 de Abril nÂº 74 A, 2580-367 Alenquer, Portugal","+351 263 036 614",,"alenquer","Google Maps",
"PERFECCIONISMO","Architect","îƒˆP. JoÃ£o GonÃ§alves Zarco, 2580-484 Carregado, Portugal","+351 966 259 775","https://www.welinkbuilders.pt/remodelacao/reabilitacao/construcao-de-imoveis/ladrilhador/carpinteiro/pedreiro/pintor/canalizador/estucador/serralheiro/2580-484-carregado-portugal/perfeccionismo-273","alenquer","Google Maps",
"Madalena Pereira arquitectura","Architect","îƒˆR. Guilherme Gomes Fernandes 9A, 2560-319 Torres Vedras, Portugal","+351 261 060 324","http://www.madalenapereira.com/","alenquer","Google Maps",
"Madalena Pereira arquitectura","Architect","îƒˆR. Guilherme Gomes Fernandes 9A, 2560-319 Torres Vedras, Portugal","+351 261 060 324","http://www.madalenapereira.com/","alenquer","Google Maps",
"Madalena Pereira arquitectura","Architect","îƒˆR. Guilherme Gomes Fernandes 9A, 2560-319 Torres Vedras, Portugal","+351 261 060 324","http://www.madalenapereira.com/","alenquer","Google Maps",
"Madalena Pereira arquitectura","Architect","îƒˆR. Guilherme Gomes Fernandes 9A, 2560-319 Torres Vedras, Portugal","+351 261 060 324","http://www.madalenapereira.com/","alenquer","Google Maps",
"Makers Embassy - Atelier de Arquitectura Moderna, Almada","Architect","îƒˆR. Conde Ferreira 3, 2800-016 Almada, Portugal","+351 912 031 098","https://makers-embassy.com/","almada","Google Maps",
"M3M","Architect","îƒˆAv. 25 de Abril de 1974 41A 1ÂºDto, 2800-303 Almada, Portugal","+351 913 122 416","https://www.instagram.com/m3m.pt/?hl=pt","almada","Google Maps",
"estÃºdio AMATAM, arquitectura | design | urbanismo","Architect","îƒˆRua do Regil 1A, 2805-234 Almada, Portugal","+351 963 556 396","https://estudioamatam.com/","almada","Google Maps",
"AtelieARQ_Arquitectos & ConstruÃ§Ã£o Lda","Architect","îƒˆAv. Prof. Egas Moniz nÂº 24 7Âº Dto, 2800-065 Almada, Portugal","+351 968 070 438","https://www.ateliearq.pt/","almada","Google Maps",
"Gomes Barreto - Atelier de Arquitectura","Architect","îƒˆR. Torcato JosÃ© Clavine 15C 1drt, 2800-592 Almada, Portugal","+351 919 847 511","http://www.gomesbarreto.pt/","almada","Google Maps",
"Urban Obras Almada","Architect","îƒˆR. do Cabo da Boa EsperanÃ§a nÂº41A, 2805-109 Almada, Portugal","+351 21 276 5464","https://www.urbanobras.pt/orcamento/","almada","Google Maps",
