company_name;industry;address;phone;website;municipality;data_source
"Atelier Átrio";"Architect";"Rua da República 98 1º Direito, 2670-470 Loures, Portugal";"+351 926 056 723";"http://www.atelier-atrio.pt/";"loures";"Google Maps"
"Sérgio Miguel Godinho, Arquitecto";"Architect";"R. Rómulo de Carvalho 28 Lado B, 2660-702 Loures, Portugal";"+351 21 581 3816";"https://www.instagram.com/sergiomiguelgodinho_arq/";"loures";"Google Maps"
"Susete da Silva + Ana Ferreira, Arquitectos e Assoc. Lda";"Architect";"R. Dr. Manuel de Arriaga n.º28-A, 2670-451 Loures, Portugal";"+351 21 605 5196";"";"loures";"Google Maps"
"Meireles Cabral Arquitectos";"Architect";"Av. Diogo Cão 19 B, 2670-457 Loures, Portugal";"+351 911 762 652";"http://www.mcarquitectos.pt/";"loures";"Google Maps"
"Atelier Geometria - Arquitectura e Urbanismo Lda";"Architect";"Av. Descobertas 15 3ºA, 2670-383 Loures, Portugal";"+351 21 983 8072";"http://www.ateliergeometria.com/";"loures";"Google Maps"
"Urban Obras Loures";"Interior Decorator";"R. Dr. Manuel de Arriaga 8-B Loja N, 2670-451 Loures, Portugal";"+351 21 191 2478";"https://www.urbanobras.pt/orcamento/";"loures";"Google Maps"
"TECNIARQUITETURA";"Architect";"Rua Francisco Canas 23 Fração BB Centro Empresarial de, 2660-500, Portugal";"+351 21 139 0402";"";"loures";"Google Maps"
"Enarco- Gabinete de Engenharia E Arquitectura Lda.";"Architect";"R. Avelar Brotero n.º 41, 2670-418 Loures, Portugal";"+351 21 356 1496";"";"loures";"Google Maps"
"Third Skin - Architecture Agency";"Architect";"";"";"https://thirdskinarchitecture.com/feasibilitycall";"loures";"Google Maps"
"Traço Criativo";"Architect";"Jardim da Amoreira, Rua Carlos Ramos 4, loja A e B, urbanização, 2620-529 Odivelas, Portugal";"+351 21 933 7177";"http://tracocriativo.pt/";"loures";"Google Maps"
"CT ARQUITECTOS ASSOCIADOS, LDA";"Architect";"Praceta Gil Eanes 4B, 2660-444 Santo António dos Cavaleiros, Portugal";"+351 21 931 4024";"";"loures";"Google Maps"
"Fátima Graf - Interior Design";"Interior designer";"Av. Diogo Cão 3 8º Esq, 2670-327 Loures, Portugal";"+351 915 404 021";"";"loures";"Google Maps"
"Oway Arquitetura";"Architect";"R. Guilherme Marconi 13 Loja 13, 2620-448 Ramada, Portugal";"+351 21 933 8943";"";"loures";"Google Maps"
"AJA - Reabilitação - Remodelação - Construção";"Architecture firm";"Av. Diogo Cão, 2670-327 Loures, Portugal";"+351 963 434 424";"http://www.ajaprojetos.com/";"loures";"Google Maps"
"Lugaresimétricos - Arquitectura E Engenharia, Lda.";"Architect";"Av. 25 de Abril Nº4 Loja Direita, 2620-185 Ramada, Portugal";"+351 21 981 0315";"https://lugaresimetricos.pt/";"loures";"Google Maps"
"SKL - Arquitectura E Engenharia, Lda";"Architect";"Cv . Frt, Praceta Maria Lamas nº 1, 2675-572 Odivelas, Portugal";"+351 21 934 4179";"";"loures";"Google Maps"
"RC Arquitetura";"Architect";"Colinas do Cruzeiro, Av. Miguel Torga nº 5 A, 2675-678 Odivelas, Portugal";"+351 937 548 803";"https://grupocity.pt/rc-arquitetura/";"loures";"Google Maps"
"RC Arquitetura";"Architect";"Colinas do Cruzeiro, Av. Miguel Torga nº 5 A, 2675-678 Odivelas, Portugal";"+351 937 548 803";"https://grupocity.pt/rc-arquitetura/";"loures";"Google Maps"
"RC Arquitetura";"Architect";"Colinas do Cruzeiro, Av. Miguel Torga nº 5 A, 2675-678 Odivelas, Portugal";"+351 937 548 803";"https://grupocity.pt/rc-arquitetura/";"loures";"Google Maps"
"RC Arquitetura";"Architect";"Colinas do Cruzeiro, Av. Miguel Torga nº 5 A, 2675-678 Odivelas, Portugal";"+351 937 548 803";"https://grupocity.pt/rc-arquitetura/";"loures";"Google Maps"
"RC Arquitetura";"Architect";"Colinas do Cruzeiro, Av. Miguel Torga nº 5 A, 2675-678 Odivelas, Portugal";"+351 937 548 803";"https://grupocity.pt/rc-arquitetura/";"loures";"Google Maps"
"RC Arquitetura";"Architect";"Colinas do Cruzeiro, Av. Miguel Torga nº 5 A, 2675-678 Odivelas, Portugal";"+351 937 548 803";"https://grupocity.pt/rc-arquitetura/";"loures";"Google Maps"
"RC Arquitetura";"Architect";"Colinas do Cruzeiro, Av. Miguel Torga nº 5 A, 2675-678 Odivelas, Portugal";"+351 937 548 803";"https://grupocity.pt/rc-arquitetura/";"loures";"Google Maps"
"Arquitetura Joana Andrade";"Architect";"";"+351 963 434 424";"https://www.ajaprojetos.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=404214668027809505";"loures";"Google Maps"
"Brand Spice - Comunicação e Imagem, Lda";"Interior designer";"R. Dr. Manuel de Arriaga 30, 2670-451 Loures, Portugal";"+351 21 586 0949";"";"loures";"Google Maps"
"Anipal-Estofos, Cortinados e Decoração em Loures";"Home goods store";"Rua Vasco da Gama, n.º 27 A/B, Urb. Infantado, 2670-397 Loures, Portugal";"+351 21 983 0080";"http://www.anipal.pt/";"loures";"Google Maps"
"Gabinete de estudos e projectos de Arquitectura e Engenharia";"Professional services";"R. António Luís Gomes 1, 2620-310 Ramada, Portugal";"+351 913 549 086";"";"loures";"Google Maps"
"Atelier Conceito Urbano";"Architect";"Praceta Francine Benoit, nº 3, c/v frt, Arroja, 2675-551 Odivelas, Portugal";"";"http://www.conceito-urbano.com/";"loures";"Google Maps"
"Elisa Carvalho Design & Interiores";"Interior designer";"R. Guilherme Marconi 7B, 2620-448 Ramada, Portugal";"+351 960 129 662";"https://elisacarvalho.com/";"loures";"Google Maps"
"grupo GUTEFORM | Arquitetura & Design |";"Architect";"R. da Paiã 23 B, 2675-935 Odivelas, Portugal";"+351 21 588 1761";"http://www.guteform.pt/";"loures";"Google Maps"
"Espaço Cidade - Arquitectos Associados, Lda.";"Architect";"Bairro da Funcheira, 2715-224 Almargem do Bpo., Portugal";"+351 965 017 386";"http://www.espacocidade.com/";"loures";"Google Maps"
"Arquitetarte - Arquitetura & Interior Design";"Interior designer";"Praceta Gil Eanes 1 Loja CD, 2660-444 Lisboa, Portugal";"+351 21 807 6108";"";"loures";"Google Maps"
"Kuerencia Decor";"Interior designer";"Colinas do Cruzeiro |, R. Antero de Quental 54 | Loja Dta, 2675-690 Odivelas, Portugal";"+351 937 251 488";"https://wa.me/351937251488";"loures";"Google Maps"
"CASAS CRIA-FORMA";"Home builder";"R. Cidade do Porto 10, 2660-026 Frielas, Portugal";"+351 21 581 1890";"http://www.casascriaforma.pt/";"loures";"Google Maps"
"Arquitecto Luís Correia Cardoso";"Architect";"2605-771 Casal de Cambra, Portugal";"+351 21 800 8946";"";"loures";"Google Maps"
"Raízes Paralelas Interior Design";"Interior designer";"Rua do Paraíso 61, 2695-661 São João da Talha, Portugal";"+351 928 255 123";"https://www.raizesparalelas.com/";"loures";"Google Maps"
"Gabinete de Arquitetura Lisboa | Arqvila";"Architecture firm";"";"+351 918 933 694";"https://arqvila.com/#orcamento";"loures";"Google Maps"
