company_name;industry;address;phone;website;municipality;data_source
"";"";"";"";"";"odivelas";"Google Maps"
"Traço Criativo";"Architect";"Jardim da Amoreira, Rua Carlos Ramos 4, loja A e B, urbanização, 2620-529 Odivelas, Portugal";"+351 21 933 7177";"http://tracocriativo.pt/";"odivelas";"Google Maps"
"ATM - Architecture & Design";"Architect";"Av. Miguel Torga 20 Loja 2, 2675-664 Odivelas, Portugal";"+351 965 518 384";"http://www.atelieratm.com/";"odivelas";"Google Maps"
"grupo GUTEFORM | Arquitetura & Design |";"Architect";"R. da Paiã 23 B, 2675-935 Odivelas, Portugal";"+351 21 588 1761";"http://www.guteform.pt/";"odivelas";"Google Maps"
"Arabisk ARCHITECTURE";"Architectural designer";"R. Paiva Couceiro 11 4º Esq, 2675-423 Odivelas, Portugal";"+351 910 276 326";"";"odivelas";"Google Maps"
"Oway Arquitetura";"Architect";"R. Guilherme Marconi 13 Loja 13, 2620-448 Ramada, Portugal";"+351 21 933 8943";"";"odivelas";"Google Maps"
"Third Skin - Architecture Agency";"Architect";"";"";"https://thirdskinarchitecture.com/feasibilitycall";"odivelas";"Google Maps"
"SKL - Arquitectura E Engenharia, Lda";"Architect";"Cv . Frt, Praceta Maria Lamas nº 1, 2675-572 Odivelas, Portugal";"+351 21 934 4179";"";"odivelas";"Google Maps"
"Atelier Conceito Urbano";"Architect";"Praceta Francine Benoit, nº 3, c/v frt, Arroja, 2675-551 Odivelas, Portugal";"";"http://www.conceito-urbano.com/";"odivelas";"Google Maps"
"Vintage Obras";"Construction company";"R. Dr. Sidónio Pais 19, 2675-504 Odivelas, Portugal";"+351 968 673 613";"https://vintageobras.pt/";"odivelas";"Google Maps"
"Lugaresimétricos - Arquitectura E Engenharia, Lda.";"Architect";"Av. 25 de Abril Nº4 Loja Direita, 2620-185 Ramada, Portugal";"+351 21 981 0315";"https://lugaresimetricos.pt/";"odivelas";"Google Maps"
"Metamorphoses Home Design";"Interior designer";"R. Laura Aires 11A, 2675-564 Odivelas, Portugal";"+351 21 934 2870";"http://www.metamorphoseshomedesign.pt/";"odivelas";"Google Maps"
"Studio Verde";"Architect";"Praceta Mário de Sá Carneiro 1 2C, 2675-235 Odivelas, Portugal";"+351 917 177 993";"https://svarquitetos.wixsite.com/studioverde";"odivelas";"Google Maps"
"RS Arquitetura";"Interior architect office";"Rua Fernando Namora, Urbanização Colinas do Cruzeiro N.º 24 loja 3, 2675-487 Odivelas, Portugal";"+351 21 407 0717";"https://geral.rsarquitetura.pt/?utm_source=Meta&utm_id=GDRS";"odivelas";"Google Maps"
"Bransolutions-Prestação de Serviços Lda";"Architecture firm";"";"+351 968 129 941";"";"odivelas";"Google Maps"
"Pedacos E Compassos Lda";"Architect";"";"+351 963 401 003";"";"odivelas";"Google Maps"
"Futurpólis Sociedade de Engenharia e Arquitectura";"Architect";"Av. de França 7, Odivelas, Portugal";"+351 21 980 0539";"";"odivelas";"Google Maps"
"Storia - Architecture and Interior Design";"Interior designer";"";"";"http://www.storia-id.com/";"odivelas";"Google Maps"
"DSA Architects International (Lisbon, Portugal)";"Architect";"Alameda António Sérgio 7 2 D, 2795-023 Linda-a-Velha, Portugal";"+351 21 419 3277";"http://www.dsa-arch.com/";"odivelas";"Google Maps"
"TECNOMEDICA LDA";"Architecture firm";"";"+351 934 569 590";"https://www.tecnomedica.pt/";"odivelas";"Google Maps"
"LCAS Architecture";"Architect";"R. António da Silva 31 R/C Esq, 2750-101 Cascais, Portugal";"+351 21 052 0881";"https://www.lcas.pt/";"odivelas";"Google Maps"
"Martina Arch | Lisboa";"Architect";"Praça, Lgo Adelino Amaro da Costa 8 2ºD, 1100-006 Lisboa, Portugal";"+351 924 234 507";"https://www.martinaarch.com/";"odivelas";"Google Maps"
"Cria - Arq. Joana Ribeiro Santos";"Architect";"";"+351 915 116 070";"https://www.cria-studio.pt/";"odivelas";"Google Maps"
"DeltaUrbano, Atelier";"Architect";"";"+351 961 847 777";"";"odivelas";"Google Maps"
"SPACEGRAM";"Architecture firm";"R. Carlos Mardel 5 2º Andar, 1900-117 Lisboa, Portugal";"+351 21 017 8013";"http://www.spacegram.com/";"odivelas";"Google Maps"
