company_name;industry;address;phone;website;municipality;data_source
"Martina Arch | Lisboa";"Architect";"Praça, Largo Adelino Amaro da Costa 8 2ºD, 1100-006 Lisboa";"924 234 507";"https://www.martinaarch.com/";"seixa";"Google Maps"
"BMA Group Lisboa - Magic Place";"Construction Company";"Rua Rui Teles Palhinha 10 2.º F, 2740-278 Porto Salvo";"912 424 724";"http://www.bmagrouplisboa.pt/";"seixa";"Google Maps"
"LA-ArchStudio";"Architect";"R. Santa Teresinha 17C, 2840-399 Seixal, Portugal";"+351 968 112 842";"http://www.la-archstudio.com/";"seixa";"Google Maps"
"DSA Architects International (Lisbon, Portugal)";"Architect";"Alameda António Sérgio 7 2 D, 2795-023 Linda-a-Velha, Portugal";"+351 21 419 3277";"http://www.dsa-arch.com/";"seixa";"Google Maps"
"Silva Dias Arquitectos";"Architect";"Rua 2 da Matinha, Lt A, 5º andar, Armazém B, Lisbon, 1950-073 Lisboa, Portugal";"+351 21 842 9420";"http://silvadias-arquitectos.com/";"seixa";"Google Maps"
"Carlos Sousa Valles -- Arquitectos";"Architect";"R. Tito de Morais 1, 1750-455 Lisboa, Portugal";"+351 21 845 1422";"https://www.facebook.com/CarlosSousaVallesArquitectos";"seixa";"Google Maps"
"SCCS arquitectos - Sónia Cabaça & Catarina Sousa Lda";"Architecture firm";"Largo das Fontaínhas 9 2º piso, 1300-255 Lisboa, Portugal";"+351 21 390 1746";"http://www.sccarquitectos.com/";"seixa";"Google Maps"
"AES - ARQUITECTURA ENGENHARIA SERVIÇOS Soluções Criativas Integradas";"Architect";"Av. da República 121, 2840-741 Arrentela, Portugal";"+351 21 222 9118";"https://www.aes.com.pt/pt/contacts-pt";"seixa";"Google Maps"
"CASCA Arquitectura e Design";"Architect";"Rua do Poço Coberto 40, 1800-303 Lisboa, Portugal";"";"http://www.casca.pt/";"seixa";"Google Maps"
"Sua Kay Arquitectos";"Architect";"Átrio Norte, Av. do Forte. 3, Edifício Suécia III, Piso -1, 2790-072 Carnaxide, Portugal";"+351 21 393 1960";"http://www.suakay.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11480720224940087863";"seixa";"Google Maps"
"Susete da Silva + Ana Ferreira, Arquitectos e Assoc. Lda";"Architect";"R. Dr. Manuel de Arriaga n.º28-A, 2670-451 Loures, Portugal";"+351 21 605 5196";"";"seixa";"Google Maps"
"Espaço a3 . Arquitectura Personalizada, Lda";"Architect";"R. Nascimento de Almeida 12 A, 2840-107 Paio Pires, Portugal";"+351 933 696 031";"http://www.espacoa3.pt/";"seixa";"Google Maps"
"Casa dos Ciprestes - Atelier de Arquitectura e Artes";"Architect";"Casa dos Ciprestes 8, 2670-675 Bucelas, Portugal";"+351 932 793 010";"";"seixa";"Google Maps"
"Pedra Silva Arquitectos";"Architect";"TV do Corpo Santo 10 1dto, 1200-131 Lisboa, Portugal";"+351 21 715 6210";"http://www.pedrasilva.com/";"seixa";"Google Maps"
"Planética - Projectos e Construções, S.A.";"Architect";"Galerias da Villa, Av. Dom Afonso Henriques Loja 1, 2630-232 Arruda dos Vinhos, Portugal";"+351 263 974 266";"http://www.planetica.pt/";"seixa";"Google Maps"
"Élia Russo Arquitectos";"Architect";"Alameda Júlio Dinis 54, 2890-497 São Francisco, Portugal";"";"";"seixa";"Google Maps"
