company_name;industry;address;phone;website;municipality;data_source;source_file
Oficina do Bairro - Arquitetura | Remodelações | Design;Architect;;+351 933 793 848;;alcochete;Google Maps;google_maps_alcochete.csv
Arte Urbana - Soluções em Arquitetura;Architect;Largo António Santos Jorge 10, 2890-022 Alcochete, Portugal;+351 934 007 279;;alcochete;Google Maps;google_maps_alcochete.csv
Narquitetos;Architect;R. dos Maracujás 83, 2890-566 Alcochete, Portugal;+351 926 130 713;http://www.narquitetos.com/;alcochete;Google Maps;google_maps_alcochete.csv
LNRD Arquitetura e Design;Architect;;+351 912 619 060;https://www.instagram.com/lnrd.arquiteturaedesign/;alcochete;Google Maps;google_maps_alcochete.csv
Atelier Do Ó;Architect;SN44, Estr. do Brejo Comprido, 2890-168 Alcochete, Portugal;;https://www.odajoana.pt/;alcochete;Google Maps;google_maps_alcochete.csv
Maria da Conceição Ribeiro Cruz;Architect;Largo Gago Coutinho s/n, 2580-355 Alenquer, Portugal;+351 964 010 837;;alenquer;Google Maps;google_maps_alenquer.csv
FIREPLAN — consultoria e projetos, Lda;Architect;R. Sacadura Cabral 54 1º esq, 2580-371 Alenquer, Portugal;+351 263 738 054;;alenquer;Google Maps;google_maps_alenquer.csv
Bilden Alenquer;Architect;Av. 25 de Abril nº 74 A, 2580-367 Alenquer, Portugal;+351 263 036 614;;alenquer;Google Maps;google_maps_alenquer.csv
Decorar gesso 3d;Interior designer;R. José Saramago, 2580-662 Alenquer, Portugal;+351 932 539 680;;alenquer;Google Maps;google_maps_alenquer.csv
Quinta de Meca;Farm;Portugal;;https://paroquia-de-santa-quiteria-de-meca.webnode.pt/;alenquer;Google Maps;google_maps_alenquer.csv
FS Design;Graphic designer;;+351 917 330 932;;alenquer;Google Maps;google_maps_alenquer.csv
PERFECCIONISMO;Architect;P. João Gonçalves Zarco, 2580-484 Carregado, Portugal;+351 966 259 775;https://www.welinkbuilders.pt/remodelacao/reabilitacao/construcao-de-imoveis/ladrilhador/carpinteiro/pedreiro/pintor/canalizador/estucador/serralheiro/2580-484-carregado-portugal/perfeccionismo-273;alenquer;Google Maps;google_maps_alenquer.csv
Madalena Pereira arquitectura;Architect;R. Guilherme Gomes Fernandes 9A, 2560-319 Torres Vedras, Portugal;+351 261 060 324;http://www.madalenapereira.com/;alenquer;Google Maps;google_maps_alenquer.csv
Makers Embassy - Atelier de Arquitectura Moderna, Almada;Architect;R. Conde Ferreira 3, 2800-016 Almada, Portugal;+351 912 031 098;https://makers-embassy.com/;almada;Google Maps;google_maps_almada.csv
M3M;Architect;Av. 25 de Abril de 1974 41A 1ºDto, 2800-303 Almada, Portugal;+351 913 122 416;https://www.instagram.com/m3m.pt/?hl=pt;almada;Google Maps;google_maps_almada.csv
estúdio AMATAM, arquitectura | design | urbanismo;Architect;Rua do Regil 1A, 2805-234 Almada, Portugal;+351 963 556 396;https://estudioamatam.com/;almada;Google Maps;google_maps_almada.csv
AtelieARQ_Arquitectos & Construção Lda;Architect;Av. Prof. Egas Moniz nº 24 7º Dto, 2800-065 Almada, Portugal;+351 968 070 438;https://www.ateliearq.pt/;almada;Google Maps;google_maps_almada.csv
