company_name;industry;address;phone;website;municipality;data_source
Urban Obras Amadora SO;Building firm;R. Dr. Francisco Sá Carneiro R/C esq, 22 a 22-B, 2720-197 Amadora, Portugal;+351 928 037 485;http://www.urbanobras.pt/;amadora;Google Maps
Quadrante;Engineering consultant;Estrada do Seminário 4 Edifício C - Piso 1, 2614-523 Amadora, Portugal;+351 21 006 7200;https://quadranteglobal.com/;amadora;Google Maps
Arquitectos Ribeiro Ramos;Architect;Av. Dom Luís I 41 4dto, 2610-053 Amadora, Portugal;+351 938 448 690;;amadora;Google Maps
ErgoDesign;Architect;Rua Elias Garcia, Nº362 D, Piso 3 Sala 3, 2700-337 Amadora, Portugal;+351 21 150 5423;http://www.ergodesign.pt/;amadora;Google Maps
Sacramento Campos Projectos e Serviços, S.A.;Architect;Estrada do Zambujal nº 38A, 2610-294 Amadora, Portugal;+351 21 301 9926;http://www.scps.pt/;amadora;Google Maps
Barata-Feyo & Associados;Architect;R. Pinheiro Borges 22B, 2610-140 Amadora, Portugal;+351 21 471 4003;http://www.bfassoc.pt/;amadora;Google Maps
Pedro Almeida Carvalho,arquitecto-projectos,consultoria E Formação Em Construção Civil Lda;Architect;Av. D. Luís I, 15, cv dta, Alfragide, 2610-055 Amadora, Portugal;+351 21 301 2843;http://www.pacarq.com/;amadora;Google Maps
9 Squares Visualization;Architecture firm;Av. João Paulo II 6, Damaia, 2720-811 Amadora, Portugal;+351 917 979 802;https://www.9squaresviz.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5248260954292117050;amadora;Google Maps
Jardins do Paço - Arquitectura Paisagista, S.A.;Landscape architect;Estr. de Alfragide 67, 2610-008 Amadora, Portugal;+351 21 471 5757;https://jardinsdopaco.pt/;amadora;Google Maps
Alx Construção Remodelação;Home builder;R. Florbela Espanca, 2700-386 Amadora, Portugal;+351 910 861 446;https://alxremodelacao.pt/;amadora;Google Maps
Espaços Renovados - Remodelações, Obras e Arquitetura;Home builder;Avenida Dr. José Pontes, 43B Atelier B, 2720-205 Amadora, Portugal;+351 21 587 1707;https://www.facebook.com/espacosrenovados;amadora;Google Maps
Mónica d'Araújo · Feng Shui Design Concept;Feng shui consultant;R. Henrique Paiva Couceiro 10, 2700-453 Amadora, Portugal;+351 917 973 679;https://www.monicaaraujo.net/;amadora;Google Maps
Wteam;Architecture firm;Rua das Fontainhas 51-51-A, sala 2.34 e 2.35, Marmar VI, 2700-391 Amadora, Portugal;+351 928 159 165;http://wteam.pt/;amadora;Google Maps
ERGOPROJECT-ARQUITECTURA & ENGENHARIA ASSOCIADOS LDA;Architect;Edifício Amadora Trade Center, Rua Dona Inês de Castro Nº 17C Sala 5, R. Dona Inês de Castro 17, 2720-193 Amadora, Portugal;+351 21 150 5423;;amadora;Google Maps
ITEM BY ITEM;Architecture firm;Centro Comercial Colina do Sol, Praceta Manuela Porto 1 Loja 5, 2650-191 Amadora, Portugal;+351 965 510 163;https://www.itembyitem.pt/;amadora;Google Maps
Grupo MG;Interior architect office;Rua Espregueira Mendes 8, Damaia, 2720-076 Amadora, Portugal;+351 21 496 2557;;amadora;Google Maps
Miranda Studio 3D;Architect;;;;amadora;Google Maps
