company_name;industry;address;phone;website;municipality;data_source
Querido POIS;Architect;Av. Duarte Pacheco 8k, 2780-316 Oeiras, Portugal;+351 934 069 802;;oeiras;Google Maps
João Navas Arquitectos;Architect;R. Dr. António Patrício Gouveia 12D, 2780-295 Oeiras, Portugal;+351 936 262 765;http://www.joaonavasarquitectos.com/;oeiras;Google Maps
PLURIESCALA - ARQUITECTURA, PLANEAMENTO E DESIGN LDA.;Architect;R. Caminho da Quinta 3 1ºESQ, 2780-095 Oeiras, Portugal;+351 966 203 159;https://www.linkedin.com/in/jcgbranco/;oeiras;Google Maps
CSarq;Architect;Av. Miguel Bombarda 3, 2780-343 Oeiras, Portugal;+351 21 441 5076;http://www.csarq.pt/;oeiras;Google Maps
Architect Master Wave;Construction company;R. Prof. Manuel Pires Neves 4, 2780-342 Oeiras, Portugal;+351 934 007 014;http://www.architectmasterwave.com/;oeiras;Google Maps
Catarina Batista Studio;Architect;Largo Avião Lusitânia 17, 2780-203 Oeiras, Portugal;+351 21 130 8794;http://www.catarinabatista.com/;oeiras;Google Maps
Régua de Escala - Arquitetura, Urbanismo e Engenharia, Lda.;Architect;R. do Recife 10, 2780-033 Oeiras, Portugal;+351 963 461 414;http://www.reguadeescala.pt/;oeiras;Google Maps
Atelier 3.17 arquitectos, Lda;Architecture firm;Av. Duarte Pacheco 37 r/c dto, 2780-316 Oeiras, Portugal;+351 21 441 7211;https://atelier317-arquitectos.pt/index.html#/;oeiras;Google Maps
AI Arquiteturas Ilimitadas;Architect;Largo Fornos 1, 2770-067 Paço de Arcos, Portugal;+351 21 446 2827;http://www.arquitecturas-ilimitadas.pt/;oeiras;Google Maps
Arqsize #arquitetura #construção;Architect;Alameda Alto da Barra n30, 2780-179 Oeiras, Portugal;+351 918 768 389;http://www.arqsize.pt/;oeiras;Google Maps
Orex & Orex - Representações, Lda.;Architect;R. Bartolomeu de Gusmão 6, 2780-091 Oeiras, Portugal;;;oeiras;Google Maps
GOM Arquitectura;Architect;2780-360 Oeiras, Portugal;;;oeiras;Google Maps
Oeiras Interiores;Interior designer;Dr. Marques da Mata Edifício Villa Louise, nº 7, 2775-608 Carcavelos, Portugal;+351 21 406 5356;;oeiras;Google Maps
SomaFuture;Construction company;Av. Dom João I 16 2º Esq, 2780-065 Oeiras, Portugal;+351 21 137 2830;https://somafuture.pt/;oeiras;Google Maps
38N9W arquitectura urbanismo design;Architect;R. Dona Filipa de Lencastre 12 1º Dto, 2780-054 Oeiras, Portugal;+351 969 073 064;;oeiras;Google Maps
Host Designers Design de Interiores Residencial e Comercial;Interior designer;Av. Carlos Silva 9C, 2780-354 Oeiras, Portugal;+351 21 418 0828;https://www.hostdesigners.com/;oeiras;Google Maps
Architect your Home;Architecture firm;R. Armando Cortez 1, 2770-233 Paço de Arcos, Portugal;+351 912 408 380;https://www.architectyourhome.pt/;oeiras;Google Maps
Gonçalo Próspero - Arquitectos;Architect;R. Infanta Dona Isabel 22 B, 1º, 2780-064 Oeiras, Portugal;+351 962 398 642;;oeiras;Google Maps
4 Pontos - Arquitectura | Reabilitação | Design;Architect;2780-203 Oeiras, Portugal;;http://www.4pontos.pt/;oeiras;Google Maps
