company_name;industry;address;phone;website;municipality;data_source
BMA Group Lisboa - Magic Place;Construction Company;Rua Rui Teles Palhinha 10 2.º F, 2740-278 Porto Salvo;912 424 724;http://www.bmagrouplisboa.pt/;palmela;Google Maps
Anchorbelievers | Arquitetura, Design, Marketing e Consultoria;Architect;Lgo do Município N.º1, 2950-222 Palmela, Portugal;+351 913 351 860;https://www.anchorbelievers.pt/contacto;palmela;Google Maps
GolfDesign.pt;Architect;Urbanização Golf Montado 93, 2950-051 Palmela, Portugal;+351 967 850 102;http://www.golfdesign.pt/;palmela;Google Maps
Archimais;Architect;Av. Joaquim Lino dos Reis 108 loja 2, 2950-326 Palmela, Portugal;+351 915 890 655;http://www.archimais.com/;palmela;Google Maps
RL Home - Decoração de Interiores & Design;Interior designer;Av. dos Descobrimentos 187 Loja A, 2950-751 Palmela, Portugal;+351 933 953 022;http://www.rl-home.pt/;palmela;Google Maps
21por2 Studio;Architect;;+351 913 913 322;https://www.21por2.pt/;palmela;Google Maps
Aterlier FF;Architect;R. Heliodoro Salgado no 9, 2950-241 Palmela, Portugal;+351 966 175 501;;palmela;Google Maps
Red Centre;Interior architect office;Av. Joaquim Lino dos Reis n.º9, 2950-326 Palmela, Portugal;+351 964 799 142;http://www.redcentre.pt/;palmela;Google Maps
LUSOARQ LDA.;Architect;AVENIDA ANTOINE VELGE Nº49A, 2950-011 Palmela, Portugal;+351 938 220 469;;palmela;Google Maps
Arquitecta Márcia Pião;Architect;Av. Antoine Velge nº49A, 2950-011 Palmela, Portugal;+351 938 220 469;https://arquiteturamarciap.wixsite.com/arquitecta;palmela;Google Maps
Coral Design de Interiores;Interior designer;R. João Vaz Corte Real 5 Loja-B, 2950-744 Palmela, Portugal;+351 924 036 225;http://www.coral-interiores.com/;palmela;Google Maps
InterPrime - GrupoIP;Interior designer;Parque Industrial Vale do Alecrim, R. da Prata 128, 2950-437, Portugal;+351 914 842 507;http://www.interprime.pt/;palmela;Google Maps
Romeu Martins Arquitetos;Architect;Estr. de Palmela 27 Piso 1 - 1A, 2900-534 Setúbal, Portugal;+351 917 631 903;http://www.atelierarquitectura.eu/;palmela;Google Maps
Dreamdomus - Construção Modular;Architecture firm;Parque Industrial das Carrascas, Estrada Nacional 252, Km 11.25, 2950-402 Palmela, Portugal;+351 21 137 1398;http://www.dreamdomus.com/;palmela;Google Maps
71 Arquitectos;Architect;Av. Dr. António Rodrigues Manito 87B, 2900-067 Setúbal, Portugal;+351 917 049 765;https://www.71arquitectos.pt/en/contacts/;palmela;Google Maps
urbanarq - arquitectura e construção;Architect;;+351 919 795 869;http://www.urbanarq.pt/;palmela;Google Maps
Atelier Ana GONÇALVES;Architect;R. Batalha do Viso 81A, 2900-268 Setúbal, Portugal;;https://anagoncalvesatelier.pt/;palmela;Google Maps
Ewa F. Pereira - interior design | abstract art;Interior designer;;+351 912 991 129;http://www.in2home.eu/;palmela;Google Maps
João de Oliveira ARCHITECTURE OFFICE;Architect;;;http://www.jo-ao.com/;palmela;Google Maps
andrecordeiro-3dvisualiser;Architect;;+351 965 621 037;https://www.andrecordeiro-3dvisualiser.com/;palmela;Google Maps
Silent Home;Home Furniture Shop;Rua Joaquim António de Aguiar 70B, 1070-050 Lisboa;21 387 0176;https://silenthome.com/;palmela;Google Maps
k. studio;Interior designer;;+351 917 113 242;https://www.kstudio-atelier.com/;palmela;Google Maps
Atelier;Architect;Av. Luísa Todi n.º 300 3.º C, 2900-452 Setúbal, Portugal;+351 265 239 193;http://www.atelierdxf.com/;palmela;Google Maps
NAM Interior Design Studio;Interior designer;;;https://neuzacabral.wixsite.com/ncdesign/inicio;palmela;Google Maps
CAV.Architects;Architect;;+351 910 196 068;https://www.cava-architects.com/;palmela;Google Maps
Arqido;Interior designer;;+351 934 812 476;;palmela;Google Maps
Olhórosmaninho, Lda.;Garden;Quinta do Guerreiro - Lugar Mata Lobos, R. 1º de Maio S/N, 2950-598 Palmela, Portugal;+351 912 167 817;https://geral7979.wixsite.com/olhorosmaninho;palmela;Google Maps
Estrada Romana em Palmela;Historical landmark;Estr. da Cobra 3 2950, Palmela, Portugal;;https://api.desporto.sapo.pt/video/ykKC6arNDlpT0IgCN9bC;palmela;Google Maps
Linha Contemporânea - Design de Interiores;Interior designer;;+351 912 242 191;https://www.linhacontemporanea.com/;palmela;Google Maps
Interprime;Interior designer;R. da Prata 128, 2950-437 Palmela, Portugal;+351 914 842 507;https://www.interprime.pt/;palmela;Google Maps
Catarina Santos LeroyMerlin;Architect;;+351 918 771 809;;palmela;Google Maps
LYM;Interior designer;;+351 938 927 260;;palmela;Google Maps
VS&PM Arquitetura e Design;Architecture firm;;+351 965 312 942;https://www.facebook.com/profile.php?id=100064324496511;palmela;Google Maps
Christopher Gordon Garden Design;Landscape architect;;+351 910 764 851;https://www.cggd.co.uk/;palmela;Google Maps
David Mares | Arquitecto;Architect;;+351 938 186 086;http://www.davidmares.com/;palmela;Google Maps
