company_name;industry;address;phone;website;municipality;data_source
BMA Group Lisboa - Magic Place;Construction Company;Rua Rui Teles Palhinha 10 2.º F, 2740-278 Porto Salvo;912 424 724;http://www.bmagrouplisboa.pt/;sesimbra;Google Maps
José Carlos Trindade Arquitectura Lda;Architect;Av. dos Combatentes 52, 2970-636 Sesimbra, Portugal;+351 21 228 8049;http://www.trindadearquitectura.pt/;sesimbra;Google Maps
mo.a | architects & partners;Architect;R. Varandas p/ o Mar 26, 2970-693 Sesimbra, Portugal;+351 966 516 745;https://www.moa-architects.com/;sesimbra;Google Maps
SPL Arquitectos;Architect;Av. João Paulo II 32 1°A, Cotovia, 2970-868, Portugal;+351 934 273 532;https://spl-arquitectos.com/;sesimbra;Google Maps
The Architect House;Lodging;R. Varandas p/ o Mar 30A, 2970-149 Sesimbra, Portugal;;;sesimbra;Google Maps
Rui Casaca - Arquitectura e Engenharia Lda;Civil engineering company;R. da República 4 1º Esq, 2970-741 Sesimbra, Portugal;+351 21 228 1404;http://www.rcasaca.com/;sesimbra;Google Maps
Paulo Braula Reis - Arquitectos;Architect;Rua Doutor 11 - 1.º Dto Santana Sesimbra PT 2970-593, R. Dr. Alberto Leite, Portugal;+351 21 228 8056;;sesimbra;Google Maps
Carlos José David;Architect;Rua da Almoínha 58, 2970-135, Portugal;+351 964 058 121;http://ateliercarlosdavid.com/;sesimbra;Google Maps
Maçaneta Redonda;Architect;R. da Caridade 19, 2970-734 Sesimbra, Portugal;+351 21 223 4233;;sesimbra;Google Maps
Carvalho Arquitectos;Architect;2970-422, Portugal;+351 966 926 509;http://www.carvalhoarquitectos.pt/;sesimbra;Google Maps
Ivo Correia;Interior designer;Edifício Mar e Serra, Av. João Paulo II, 2970-002 Sesimbra, Portugal;+351 21 268 2587;http://www.ivocorreia.pt/;sesimbra;Google Maps
OPdR Collective;Landscape designer;R. Dom Sancho I 36, 2970-744 Sesimbra, Portugal;+44 7425 339133;https://opdrcollective.org/;sesimbra;Google Maps
KR - Arquitectura;Architect;R. das Mimosas 42, 2970-402, Portugal;+351 21 099 2904;http://kr-atelier.com/;sesimbra;Google Maps
Miguel Ferreira Arquitectos;Architect;Rua de Santa Filomena n.º 1 A, 2970-055, Portugal;;https://miguelferreiraarquitectos.pt/home/index.php;sesimbra;Google Maps
Zimbralar Têxteis;Interior designer;Av. Padre António Pereira de Almeida nº26, 2970-590 Santana, Portugal;+351 21 268 9120;http://www.zimbralar.pt/;sesimbra;Google Maps
Neoforma Lda;Architect;;+351 919 519 435;;sesimbra;Google Maps
