company_name;industry;address;phone;website;municipality;data_source
71 Arquitectos;Architect;Av. Dr. António Rodrigues Manito 87B, 2900-067 Setúbal, Portugal;+351 917 049 765;https://www.71arquitectos.pt/en/contacts/;setubai;Google Maps
Arquiteto João Contente;Architect;R. Cidade da Beira, 2900-075 Setúbal, Portugal;+351 918 278 633;https://www.joaocontente.com/;setubai;Google Maps
Atelier;Architect;Av. Luísa Todi n.º 300 3.º C, 2900-452 Setúbal, Portugal;+351 265 239 193;http://www.atelierdxf.com/;setubai;Google Maps
PM House Mediação Imobiliária;Architect;Av. Luísa Todi 9, 2900-451 Setúbal, Portugal;+351 265 771 202;http://www.pmhouse.pt/;setubai;Google Maps
Atelier Ana GONÇALVES;Architect;R. Batalha do Viso 81A, 2900-268 Setúbal, Portugal;;https://anagoncalvesatelier.pt/;setubai;Google Maps
Eliz Jardim Arquitectura;Architect;Praça Alm. Reis 27 2 andar, 2900-585 Setúbal, Portugal;+351 916 151 556;;setubai;Google Maps
Atelier Às Duas por Três, Arquitetura de Interiores e Decoração;Interior designer;Av. Belo Horizonte 78A, 2910-422 Setúbal, Portugal;+351 918 082 704;https://asduaspor3.com/;setubai;Google Maps
Boho Casas;Architecture firm;Av. Luísa Todi 406, 2900-455 Setúbal, Portugal;+351 265 104 072;https://www.bohocasas.com/;setubai;Google Maps
Arkdraw lda;Architect;Av. de Moçambique 14, 2900-003 Setúbal, Portugal;+351 933 178 101;;setubai;Google Maps
Ert-Atelier De Projectos E Estudos Tecnicos, Lda.;Architect;Av. São Francisco Xavier 22, 2900-661 Setúbal, Portugal;+351 265 239 690;;setubai;Google Maps
PolisArquitetos;Architect;R. Eng. Henri Perron 1 Loja B, 2900-193 Setúbal, Portugal;+351 265 098 710;http://www.polisarquitetos.pt/;setubai;Google Maps
Urban Obras Setúbal;Architect;Av. dos Combatentes da Grande Guerra, n.º 51 – 1º andar, 2900-329 Setúbal, Portugal;+351 913 364 432;https://www.urbanobras.pt/orcamento/;setubai;Google Maps
Karavela Architecture Studio;Architect;Praça de Portugal 7B, 2910-640 Setúbal, Portugal;+351 913 125 184;https://www.karavelastudio.com/;setubai;Google Maps
ARV - Arquitectura e Projectos, Lda.;Architecture firm;R. Joaquim Brandão 8, 2900-422 Setúbal, Portugal;+351 916 592 498;https://calendly.com/arv_aec_bim/first_link;setubai;Google Maps
Arquiteta Carla Correia;Architect;R. Oliveira Martins 8B, 2900-517 Setúbal, Portugal;+351 933 408 278;http://www.carlacorreia.com/;setubai;Google Maps
Romeu Martins Arquitetos;Architect;Estr. de Palmela 27 Piso 1 - 1A, 2900-534 Setúbal, Portugal;+351 917 631 903;http://www.atelierarquitectura.eu/;setubai;Google Maps
Ricardo Peralta - arquitectos, Lda;Architect;Av. Doutor Antº, Av. Dr. António Rodrigues Manito 91 A, 2900-067 Setúbal, Portugal;+351 933 250 097;http://www.ricardoperalta.pt/;setubai;Google Maps
3G Arquitectura;Architect;Av. Luísa Todi 616 1º esquerdo, 2900-457 Setúbal, Portugal;+351 918 093 119;https://3garquitectura.com/;setubai;Google Maps
Paulo Louro, Lda.;Architect;Av. Luísa Todi 135, Setúbal, Portugal;+351 917 228 716;;setubai;Google Maps
Estúdio 15;Architect;R. Dr. Aníbal Álvares da Silva 15, 2900-227 Setúbal, Portugal;+351 265 236 330;https://e15arq.wixsite.com/estudio15;setubai;Google Maps
eCUBE;Architect;Av. 5 de Outubro 47, 2900-356 Setúbal, Portugal;+351 917 764 929;http://www.ecube.pt/;setubai;Google Maps
Rui Filipe Monteiro, Arquitecto;Architect;Estr. das Machadas 11a, 2900-468 Setúbal, Portugal;+351 936 714 546;https://www.rmarquitecto.pt/;setubai;Google Maps
atelier Jordana Tomé Vitor Quaresma;Architect;Av. Luísa Todi 124 A, 2900-450 Setúbal, Portugal;+351 967 314 187;https://www.jtvq-atelier.com/;setubai;Google Maps
FF Arquitectura;Architect;Tv. do Padre Manuel dos Santos 3, 2900-229 Setúbal, Portugal;+351 265 234 466;;setubai;Google Maps
21por2 Studio;Architect;;+351 913 913 322;https://www.21por2.pt/;setubai;Google Maps
