company_name;industry;address;phone;website;municipality;data_source
Arrudarq, Lda;Architecture firm;R. Heliodoro Salgado 16 1 Fte, 2630-242 Arruda dos Vinhos, Portugal;+351 263 098 943;http://www.arrudarq.pt/;Arruda_dos_Vinhos;Google Maps
O Polícia;Building materials store;Urbanização Industrial Santo António, lote 1, 2630-328 Arruda dos Vinhos, Portugal;+351 263 979 190;https://www.opolicia.pt/;Arruda_dos_Vinhos;Google Maps
FMJPC Arquitetura e Design;Architect;Rua Nossa Senhora da Conceição Centro Empresarial de A-do-Mourão, Fração D, 2630-506 Arruda dos Vinhos, Portugal;+351 912 048 030;http://www.fmjpc.com/;Arruda_dos_Vinhos;Google Maps
Planética - Projectos e Construções, S.A.;Home builder;Galerias da Villa, Av. Dom Afonso Henriques Loja 1, 2630-232 Arruda dos Vinhos, Portugal;+351 263 974 266;http://www.planetica.pt/;Arruda_dos_Vinhos;Google Maps
MARIA MENINO - Interiores;Interior designer;RUA NOSSA SENHORA DA CONCEIÇÃO, CENTRO EMPRESARIAL A DO MOURAO, D, 2630-506 Arruda dos Vinhos, Portugal;+351 21 968 1911;https://mariamenino.com/pt/;Arruda_dos_Vinhos;Google Maps
Atelier Erva Arruda;Dressmaker;R. de Moixent 67, 2630-289 Arruda dos Vinhos, Portugal;+351 964 887 354;http://www.ervaarruda.com/;Arruda_dos_Vinhos;Google Maps
Formato Magento;Advertising agency;2630-310 Arruda dos Vinhos, Portugal;+351 21 390 3791;http://www.graficaiprint.pt/;Arruda_dos_Vinhos;Google Maps
IRF Virtual Assistance;Design agency;R. Irene Lisboa 48, 2630-246 Arruda dos Vinhos, Portugal;+351 937 971 496;;Arruda_dos_Vinhos;Google Maps
CERAMED;Flooring store;Zona Industrial das Corredouras Lote 14-15, 2630-369 Arruda dos Vinhos, Portugal;+351 263 099 717;https://ceramed-coatings.com/;Arruda_dos_Vinhos;Google Maps
Louro & Nascimento-Construções, Lda.;Building materials store;Casal Do Romanço, Arruda Dos Vinhos, Lisboa, Portugal;+351 919 691 396;;Arruda_dos_Vinhos;Google Maps
