company_name;industry;address;phone;website;municipality;data_source
Silvia Correia, Arquitectos;Architect;R. Q.ta de Santo Amaro 7, 2600-285 Vila Franca de Xira, Portugal;+351 965 092 709;http://www.arquitectos-sc.com/;Vila_Franca_de_Xira;Google Maps
Maisr - Arquitectura E Reabilitação, Lda.;Architect;R. Luís de Camões 122, 2600-180 Vila Franca de Xira, Portugal;+351 263 290 063;https://www.maisr.com/html/pt/index.php;Vila_Franca_de_Xira;Google Maps
Ciratecna - Gabinete De Estudos E Projectos, Lda.;Architect;2600-098 Vila Franca de Xira, Portugal;+351 263 273 801;;Vila_Franca_de_Xira;Google Maps
Homestories;Architect;R. Dona Isabel Dumond, 2600-642 Castanheira do Ribatejo, Portugal;+351 263 283 142;http://www.homestories.pt/;Vila_Franca_de_Xira;Google Maps
Decorpita - O melhor design para a sua casa;Building materials store;Estr. do Casal da Coxa 2, 2600-056 Vila Franca de Xira, Portugal;+351 263 287 320;http://www.decorpita.pt/;Vila_Franca_de_Xira;Google Maps
LIT Studio;Architecture firm;;+351 960 002 727;http://www.litstudio.pt/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16030034689170216375;Vila_Franca_de_Xira;Google Maps
Remodelações SJMR;Architecture firm;;+351 963 807 070;;Vila_Franca_de_Xira;Google Maps
Fábrica das Palavras - Biblioteca Municipal e Equipamento Cultural;Public library;Largo Mário Magalhães Infante nº14, 2600-187 Vila Franca de Xira, Portugal;+351 263 271 200;https://bmvfx.cm-vfxira.pt/;Vila_Franca_de_Xira;Google Maps
Raquel Espindola design de interiores;Architecture firm;;+351 934 714 426;https://raqueldesigndeinteriores.flutterflow.app/;Vila_Franca_de_Xira;Google Maps
Sofia Martins Interiores;Interior designer;;+351 915 029 958;http://www.canva.com/design/DAEkMOBiR94/rKGi7wGMT8Fs9W4cZgOQuQ/view;Vila_Franca_de_Xira;Google Maps
A+D Studio Arquitetura;Architect;;+351 966 627 933;https://adstudio.pt/contactos/;Vila_Franca_de_Xira;Google Maps
We Scale, You Save! Check our Site;Architect;Praça Eng.º Vaz Guedes, nº 3A e 3B Alverca, 2615-399 Alverca do Ribatejo, Portugal;+351 21 822 8881;http://www.dimscale.com/;Vila_Franca_de_Xira;Google Maps
Raiz Lateral - Arquitectura e Design, Lda.;Architecture firm;R. António Sérgio 141 B, 2615-041 Alverca do Ribatejo, Portugal;+351 969 136 814;;Vila_Franca_de_Xira;Google Maps
