company_name;industry;address;phone;website;municipality;data_source
FESTO - GABINETE DE ARQUITECTURA,PLANEAMENTO E CONSULTADORIA IMOBILIÁRIA LDA‎;Architect;Tv. dos Quintais 6, 2830-400 Barreiro, Portugal;+351 21 207 1624;http://www.festoarquitectura.com/;barreiro;Google Maps
SFRG Architects;Architecture firm;R. Miguel Pais 121A3, 2830-356 Barreiro, Portugal;;http://www.sfrg.pt/;barreiro;Google Maps
Juliana Batista - Arquitectura e Design de Interiores;Architect;Barreiro PT, Praça Eduardo José de Almeida Fernandes 6B, 2835-337 Lavradio, Portugal;+351 21 155 1706;http://www.julianabatista.pt/;barreiro;Google Maps
ECOARQ - Arquitectura e Certificação Energética, Lda;Architect;Av. Alfredo da Silva 14, 2830-302 Barreiro, Portugal;+351 21 086 5313;https://www.facebook.com/Ecoarq-Arquitectura-e-Sustentabilidade-Energ%C3%A9tica-163820547060627/;barreiro;Google Maps
Progesto-Gabinete Tecnico De Gestão Arquitectura E Planeamento, Lda.;Architect;Av. Alfredo da Silva 27, 2830-346 Barreiro, Portugal;+351 21 599 7799;http://www.miguelamadoarquitectos.pt/;barreiro;Google Maps
PENDENTE - estudos e projectos;Architect;Avenida da República 9 1º esq, 2830-305 Barreiro, Portugal;+351 913 944 395;;barreiro;Google Maps
Jorge Matos-decorações De Interiores Lda.;Interior designer;R. Encarnação Coelho 18, 2830-222 Barreiro, Portugal;+351 21 289 4048;http://www.armazemmestreandre.pt/;barreiro;Google Maps
Bruno Barreiro Arq&Design;Architect;Av. São Lourenço n.º 13, 3770-018 Bustos, Portugal;+351 913 603 665;;barreiro;Google Maps
Miguel Amado Arquitectos (Sede);Architect;R. Álvaro Velho 9, 2830-327 Barreiro, Portugal;+351 21 599 7799;http://www.miguelamadoarquitectos.pt/;barreiro;Google Maps
Lusoplan-estudos E Projectos Lda.;Architect;R. Miguel Bombarda 16, 2830-355 Barreiro, Portugal;+351 21 207 1800;;barreiro;Google Maps
LA-ArchStudio;Architect;R. Santa Teresinha 17C, 2840-399 Seixal, Portugal;+351 968 112 842;http://www.la-archstudio.com/;barreiro;Google Maps
MBDesign - Design elegante e Marketing funcional a valores Democráticos;Graphic designer;Av. Alfredo da Silva Nº51 2ºE, 2830-302 Barreiro, Portugal;+351 919 614 689;;barreiro;Google Maps
PROJEPERTE;Architecture firm;R. Prof. Egas Moniz 34, 2830-357 Barreiro, Portugal;+351 21 088 0040;;barreiro;Google Maps
Glim - Design de Interiores;Interior designer;R. Stara-Zagora 26 A, 2830-364 Barreiro, Portugal;+351 21 246 0108;http://www.glim.pt/;barreiro;Google Maps
DD_Design2k16;Graphic designer;R. Camilo Castelo Branco 8 Sala 1, 2830-328 Barreiro, Portugal;+351 933 883 546;;barreiro;Google Maps
Mariana Rocha Pires Arquitectura integrativa;Architect;R. Duarte Pacheco Pereira, 2830-192 Palhais, Portugal;+351 934 883 599;https://marianarochapires.pt/;barreiro;Google Maps
Hori Studio Design;Graphic designer;R. Dr. Manuel de Arriaga 84 1º Esquerdo, 2830-079 Barreiro, Portugal;+351 932 228 348;https://www.studiohori.com/formulario-de-cliente;barreiro;Google Maps
Casa Blumus;Graphic designer;Tv. Padre Abílio Mendes, 2830-377 Barreiro, Portugal;+351 961 260 238;http://www.casablumus.com/;barreiro;Google Maps
Miguel Amado Arquitectos;Architect;R. Nova do Almada 59, 1200-102 Lisboa, Portugal;+351 21 599 7799;http://www.miguelamadoarquitectos.pt/;barreiro;Google Maps
O Coelho Designer;Graphic designer;R. Dr. Miguel Bombarda, 2835-431 Barreiro, Portugal;+351 962 185 527;;barreiro;Google Maps
amici designer;Graphic designer;R. Dr. António José de Almeida 67, 2830-341 Barreiro, Portugal;;http://www.amicidesigner.pt/;barreiro;Google Maps
Fórum Barreiro;Department store;R. Stara-Zagora 1, 2830-364 Barreiro, Portugal;+351 21 206 8900;https://www.forumbarreiro.pt/;barreiro;Google Maps
Cilindro Gráfico - Artes Gráficas, Lda;Graphic designer;Rua 48, 13, Quimiparque Aptd. 5087, Barreiro, Setúbal, Portugal;+351 919 455 881;https://filmesp.wixsite.com/website-35;barreiro;Google Maps
Nooba Empreendimento;Apartment building;Rua de Maputo, S/N, Stand Nooba, Barreiro, Santo André, 2830-181, Portugal;+351 963 794 436;https://nooba.pt/;barreiro;Google Maps
Jornal Rostos - o seu diário digital;Newspaper publisher;Rua Miguel Bombarda, C Bombarda N74 C Loja 24, 2830-355 Barreiro, Portugal;+351 21 206 6758;https://www.rostos.pt/;barreiro;Google Maps
G.H;Graphic designer;Rua da Estremadura, 2835-746 Barreiro, Portugal;;;barreiro;Google Maps
Criações Ilustra;Graphic designer;;+351 969 743 803;;barreiro;Google Maps
Raposa dos Jardins - Jardinagem & Paisagismo;Gardener;;+351 936 386 145;https://www.raposadosjardins.pt/;barreiro;Google Maps
ARQ.CASTELA _Arquitectura & Enhenharia Lda;Architect;;+351 968 070 438;;barreiro;Google Maps
