company_name;industry;address;phone;website;municipality;data_source
Urban Obras Cascais CS;Architecture firm;Av. 25 de Abril 805 1º B, 2750-514 Cascais, Portugal;+351 21 592 4641;http://www.urbanobras.pt/;cascais;Google Maps
LCAS Architecture;Architect;R. António da Silva 31 R/C Esq, 2750-101 Cascais, Portugal;+351 21 052 0881;https://www.lcas.pt/;cascais;Google Maps
AtelierAP;Architect;Av. 25 de Abril 127, 2750-513 Cascais, Portugal;+351 21 486 1032;http://atelierap.pt/;cascais;Google Maps
Monark Lda;Architecture firm;Av. 25 de Abril 1011 llote 69, 2750-512 Cascais, Portugal;+351 935 370 286;https://www.instagram.com/monarkarchitecturedesign/;cascais;Google Maps
Madeiguincho - Atelier de Madeira est. 1990;Carpenter;R. Casal Queimado 12, 2750-492 Cascais, Portugal;+351 917 161 865;http://www.madeiguincho.pt/;cascais;Google Maps
João Pedro Quaresma- Arquiteto, Certified Passive House Designer;Architect;A Rua D José de Avilêz 141, Bloco B 1º, Dt, 2750-398 Cascais, Portugal;+351 969 025 969;http://www.nurture-ad.pt/;cascais;Google Maps
Gil Graça - Arquitectos Associados, Lda.;Architect;Av. 25 de Abril 184 1ºA, 2750-511 Cascais, Portugal;+351 21 486 1011;;cascais;Google Maps
Ivan Rezende;Architect;R. de Sant'Ana 109, 2750-642 Cascais, Portugal;+351 939 687 196;http://www.ivanrezendearquitetura.com/;cascais;Google Maps
Aartium | Architecture and Interior Projects;Interior designer;R. António Sérgio 187, Cobre, 2750-555 Cascais, Portugal;+351 911 530 580;https://www.aartium.com/;cascais;Google Maps
Unique Projects;Architect;R. Estrelícias 107, 2750-228 Cascais, Portugal;+351 917 604 939;https://uniqueprojects.pt/;cascais;Google Maps
Margarida Lacerda-arquitectura E Design Lda;Architect;Av. da Venezuela 471, 2750-642 Cascais, Portugal;+351 21 464 7231;http://margaridalacerda.com/;cascais;Google Maps
PROJECTAR - Arquitectos Associados;Architect;R. da Dourada nº12 1ºC, 2750-197 Cascais, Portugal;+351 21 486 5509;http://www.projectar.net/;cascais;Google Maps
juaw.arquitectura;Architect;R. Santo André n128 1o, 2750-122 Cascais, Portugal;+351 916 228 333;http://juaw.net/;cascais;Google Maps
oto arquitectos - Otoarq, Lda.;Architect;Beco Torto 10A, 2750-505 Cascais, Portugal;+351 21 383 0260;http://www.oto.pt/;cascais;Google Maps
Hartmann Associados-arquitectura E Design Lda;Architect;Av. Mal. Carmona 124, 2750-642 Cascais, Portugal;+351 21 483 0889;http://www.hartmannassociados.com/;cascais;Google Maps
Claudio Figueiredo Arquitectura E Artes Visuais, Lda.;Architect;Av. Infante Dom Henrique 514, 2750-156 Cascais, Portugal;+351 21 486 3494;;cascais;Google Maps
NEOPOLIS, arquitectura;Architect;R. Cap. Rei Vilar 378 Anexo, 2755-547 Alcabideche, Portugal;;;cascais;Google Maps
TRANSFORMA, Projectos, Construção, Imobiliário;Architect;Av. 25 de Abril 805, 2750-514 Cascais, Portugal;+351 21 806 0599;http://www.transforma.pt/;cascais;Google Maps
AQT arquitectos;Architecture firm;r/c B, R. João Infante 50, Cascais, Portugal;+351 21 482 8470;https://www.arquitronica.pt/;cascais;Google Maps
Arquitronica - Arquitectura E Consultoria, Lda.;Architect;R. João Infante 78, 2750-169 Cascais, Portugal;+351 21 482 8470;http://www.arquitronica.pt/;cascais;Google Maps
