company_name;industry;address;phone;website;municipality;data_source
MAAT - Museum of Art, Architecture and Technology;Museum;Av. Brasília, 1300-598 Lisboa, Portugal;+351 21 002 8130;https://www.maat.pt/pt;lisbon;Google Maps
Lisbon Architecture Triennale;Non-profit organization;Office:, Campo de Santa Clara 142, 1100-474 Lisboa, Portugal;+351 21 803 8540;http://trienaldelisboa.com/;lisbon;Google Maps
Faculty of Architecture, University of Lisbon;Architecture school;R. Sá Nogueira, 1349-063 Lisboa, Portugal;+351 21 361 5000;http://www.fa.ulisboa.pt/;lisbon;Google Maps
Gabinete de Arquitetura Lisboa - spacelovers;Architect;Calçada da Tapada 67 2E, 1300-546 Lisboa, Portugal;+351 969 010 330;https://spacelovers.pt/;lisbon;Google Maps
Saraiva + Associados;Architect;Av. Infante Santo 69 A C, 1350-177 Lisboa, Portugal;+351 21 393 9340;http://www.saraivaeassociados.com/;lisbon;Google Maps
Atelier Data;Architecture firm;R. São José 17, 1150-321 Lisboa, Portugal;+351 21 812 3838;http://www.atelierdata.com/;lisbon;Google Maps
UMA Collective - Architecture;Architect;R. Diogo do Couto 1 9 andar esquerdo, 1100-194 Lisboa, Portugal;+351 21 805 2873;http://www.umacollective.pt/;lisbon;Google Maps
PROMONTORIO;Architect;R. Fábrica de Material de Guerra 10, 1950-128 Lisboa, Portugal;+351 21 862 0970;https://www.promontorio.net/;lisbon;Google Maps
Roof Design Studio;Interior designer;Campo dos Mártires da Pátria 61, 1150-276 Lisboa, Portugal;+351 21 325 8847;http://www.roof.pt/;lisbon;Google Maps
Aires Mateus;Architect;R. Cecílio de Sousa 52, 1200-102 Lisboa, Portugal;+351 21 381 5650;http://www.airesmateus.com/;lisbon;Google Maps
CVDB Arquitectos;Architect;R. Artilharia 1 67, 1250-002 Lisboa, Portugal;+351 21 608 6582;http://www.cvdbarquitectos.com/;lisbon;Google Maps
SPACEGRAM;Architecture firm;R. Carlos Mardel 5 2º Andar, 1900-117 Lisboa, Portugal;+351 21 017 8013;http://www.spacegram.com/;lisbon;Google Maps
Colectivo Warehouse;Architect;Alto do Varejão 10A, 1900-433 Lisboa, Portugal;+351 916 701 044;http://www.warehouse.pt/;lisbon;Google Maps
DSA Architects International (Lisbon, Portugal);Architect;Alameda António Sérgio 7 2 D, 2795-023 Linda-a-Velha, Portugal;+351 21 419 3277;http://www.dsa-arch.com/;lisbon;Google Maps
DC.AD;Architecture firm;R. Freitas Gazul 13B, 1350-148 Lisboa, Portugal;+351 21 396 0341;http://www.dc-ad.com/;lisbon;Google Maps
Federico Melandri Architects;Architecture firm;R. Garrett 80 3° C, 1200-000 Lisboa, Portugal;+351 21 396 0436;http://federicomelandri.com/;lisbon;Google Maps
Estadobruto Architects;Architect;R. Rodrigues Sampaio 94 A, 1150-281 Lisboa, Portugal;+351 21 357 1076;http://www.estadobruto.eu/;lisbon;Google Maps
Liv-in;Interior designer;R. Castilho 39 8 F, 1250-068 Lisboa, Portugal;+351 912 222 011;https://www.liv-in.com/;lisbon;Google Maps
Pedra Silva Arquitectos;Architect;TV do Corpo Santo 10 1dto, 1200-131 Lisboa, Portugal;+351 21 715 6210;http://www.pedrasilva.com/;lisbon;Google Maps
Fragmentos;Architect;R. Camilo Castelo Branco 2D, 1150-084 Lisboa, Portugal;+351 21 466 1218;http://www.fragmentos.pt/;lisbon;Google Maps
Rebelo de Andrade;Architecture firm;R. Maria Brown 2, 1500-433 Lisboa, Portugal;+351 21 936 3430;http://www.rebelodeandrade.com/;lisbon;Google Maps
Studio Gameiro;Architect;Tv. do Rosário 33, 1250-196 Lisboa, Portugal;+351 21 347 2111;http://www.instagram.com/studiogameiro;lisbon;Google Maps
Broadway Malyan;Architect;Estação do Rossio, Largo do Duque de Cadaval 17 1.º Esq, 1200-160 Lisboa, Portugal;+351 21 321 9440;http://www.broadwaymalyan.com/;lisbon;Google Maps
MJARC arquitectos - Gabinete de projetos arquitetura e urbanismo lisboa;Architect;Av. da República 6 1º esq, 1050-191 Lisboa, Portugal;+351 21 158 2216;https://mjarc.com/pt/contactos?utm_source=gmb&utm_medium=lisbon&utm_campaign=lisbon;lisbon;Google Maps
Frederico Valsassina Arquitectos Lda;Architect;Calçadinha do Tijolo Nº58, Porta 13, 1ºFte, 1100-608 Lisboa, Portugal;+351 21 885 4545;http://www.fvarq.com/;lisbon;Google Maps
WALLNUT Design + Build;Architecture firm;R. Nova do Almada 59 3º, 1200-288 Lisboa, Portugal;+351 21 207 1122;https://www.wallnut.pt/contact;lisbon;Google Maps
Lola Cwikowski Studio;Interior designer;Calçada do Monte 90, 1170-112 Lisboa, Portugal;+351 963 787 268;http://lolacwikowski.com/about;lisbon;Google Maps
