company_name;industry;address;phone;website;municipality;data_source
HARTCASA;Architect;R. João Luís de Moura n.º 71, 2530-158 Lourinhã, Portugal;+351 261 423 930;https://www.hartcasa.com/contactos;lourinha;Google Maps
HM Arquitectos;Architect;Tv. Dra. Ana Jorge n.1 1º - Andar, 2530-128 Lourinhã, Portugal;+351 261 469 481;http://www.hmarquitectos.pt/;lourinha;Google Maps
TABF ARQUITETURA;Architect;R. da Misericórdia 5 1ºB, 2530-137 Lourinhã, Portugal;+351 918 174 832;https://www.tiago-figueiroa.com/;lourinha;Google Maps
Feng Shui consulting & training;Architect;R. Inf. Dom Henrique 1L, 2530-241 Lourinhã, Portugal;+351 962 401 001;http://www.masazorn.com/;lourinha;Google Maps
Desenhoeste Lda. Gabinete de Arquitectura e Engenharia.;Architect;R. Francisco Rocha 27 R/C, 2530-110 Lourinhã, Portugal;+351 261 461 118;http://www.desenhoeste.com/;lourinha;Google Maps
Espaço4U;Interior designer;R. 25 de Abril 1, 2530-128 Lourinhã, Portugal;+351 261 099 105;;lourinha;Google Maps
Projectos Sérgio M A Fernandes;Engineer;R. Dr. Francisco Sá Carneiro 10 Sala 6, 2530-108 Lourinhã, Portugal;+351 261 413 022;;lourinha;Google Maps
DOKKA Arquitetura;Architect;Shopping Lourinhã, R. dos Bombeiros Voluntários 30 Loja 01, 2530-147 Lourinhã, Portugal;+351 935 068 505;https://www.arqdokka.com/;lourinha;Google Maps
Alexval - Interior Designer;Interior designer;R. Dr. Francisco Sá Carneiro 24-A, 2530-108 Lourinhã, Portugal;+351 916 540 067;http://www.alexval.pt/;lourinha;Google Maps
CV - Arquitetura e Engenharia;Civil engineer;R. Augusto Carolo 12, Areia Branca, 2530-068 Lourinhã, Portugal;+351 911 136 115;http://www.cv-arquiteturaengenharia.com/;lourinha;Google Maps
Horto dos Barros;Landscape architect;;+351 910 708 028;;lourinha;Google Maps
ALP Gabinete De Projectos - ARQUITETURA;Corporate office;"edifício ""Prestige, Alameda Nuno de Brion 2, 2530-875 Lourinhã, Portugal";+351 261 413 623;https://www.alp-projectos.com/;lourinha;Google Maps
celiavicentearquiteta;Architect;;+351 967 501 082;;lourinha;Google Maps
