company_name;industry;address;phone;website;municipality;data_source
Martina Arch | Lisboa;Architect;Praça, Lgo Adelino Amaro da Costa 8 2ºD, 1100-006 Lisboa, Portugal;+351 924 234 507;https://www.martinaarch.com/;mafra;Google Maps
OTK Arquitectos Lda;Architect;Rua Arquiteto Ludovice 2, 2640-582 Mafra, Portugal;+351 261 812 310;http://www.otk-arquitectos.pt/;mafra;Google Maps
Joaquim Caracol;Architect;R. Primeiro de Dezembro 9, 2640-454 Mafra, Portugal;+351 261 812 687;;mafra;Google Maps
Arte´S - Arquitectura & Feng Shui;Architect;Av. da Liberdade 3B, 2640-774 Mafra, Portugal;;https://artesarquitecturafengshui.com/;mafra;Google Maps
nocnoc studio;Architecture firm;R. do Chafariz Grande, Barreiralva, 2640-416 Mafra, Portugal;+351 968 879 943;https://nocnocstudio.com/;mafra;Google Maps
Nunes Toral Arquitectos;Architect;R. Pedras Amarelas 4, Barreiralva, 2640-416 Mafra, Portugal;+351 261 055 900;https://www.nunestoral.com/;mafra;Google Maps
not-atelier;Architect;2640-817 Mafra, Portugal;+351 913 315 565;http://www.not-atelier.com/;mafra;Google Maps
SFF ARQUITETURA;Architect;terreiro dom João V numero 15 terceiro direito, 2640-492 Mafra, Portugal;+351 968 146 825;http://sffarquitetura.pt/;mafra;Google Maps
Helmrich's Interior Design;Architecture firm;R. do Fontanário 1, 2640-401 Ericeira, Portugal;+351 962 976 678;http://www.helmrichs.pt/;mafra;Google Maps
Forma 04 - Arquitectos;Architect;Av. 25 de Abril 1 1 andar C, 2640-456 Mafra, Portugal;;;mafra;Google Maps
Domingues Rolo Arquitectos Lda;Architect;R. Prof. Egas Moniz Nº10 Loja B, 2640-477 Mafra, Portugal;+351 916 623 645;http://www.drarquitectos.pt/;mafra;Google Maps
a+ arquitectura;Architect;R. Paroquial n.º 5 R/C, 2665-260 Malveira, Portugal;+351 965 664 400;https://www.arquitectura-positiva.com/;mafra;Google Maps
Arquitetura e Engenharia;Architect;Patio do Escondidinho 4, 2640-473 Mafra, Portugal;+351 966 021 763;;mafra;Google Maps
SER arquitetos;Architect;R. Aquilino Ribeiro 10 Dto, 2640-457 Mafra, Portugal;+351 966 276 296;http://serarquitetos.pt/;mafra;Google Maps
LUXE Design - Atelier;Interior designer;R. José Elias Garcia 4, 2640-495 Mafra, Portugal;+351 919 920 126;https://www.luxe-design.pt/;mafra;Google Maps
mesmo atelier;Architecture firm;;;http://mesmoatelier.pt/;mafra;Google Maps
Paulo JLC . Arquitetura;Architecture firm;;+351 965 439 188;https://paulo-jlc-arquiteto.webnode.pt/;mafra;Google Maps
Sancovedras - Excelência na Decoração;Interior designer;Showroom, R. Prof. Guilherme de Assunção 2, 2640-542 Mafra, Portugal;+351 261 814 354;https://www.sancovedras.pt/;mafra;Google Maps
Milene Silva - Arquitectura;Architect;EN 247, Nr 31, Ribamar, 2640-027 Mafra, Portugal;+351 919 710 786;http://www.milenesilva.com/;mafra;Google Maps
A-Design;Advertising agency;;+351 929 077 881;http://www.a-design.pt/;mafra;Google Maps
AT.93 - Atelier de Arquitectura e Engenharia Lda.;Architect;EN116, Quinta dos Leitões, 2655-450 Ericeira, Portugal;+351 21 134 9207;http://www.at93.pt/;mafra;Google Maps
BMA Group Lisboa - Magic Place;Construction company;Rua Rui Teles Palhinha 10 2.º F, 2740-278 Porto Salvo;912 424 724;http://www.bmagrouplisboa.pt/;mafra;Google Maps
Urban Jungle;Garden center;R. José Luis Crespo 2A, 2655-347 Ericeira, Portugal;+351 915 772 089;https://urbanjungle.pt/contacte-nos/;mafra;Google Maps
Mercado Municipal de Mafra;Market;R. José Elias Garcia, 2640-495 Mafra, Portugal;;https://www.cm-mafra.pt/pages/880;mafra;Google Maps
Rolo & Filhos Ii Sa;Graphic designer;R. Dr. António Fernandes Cura, 2640-486 Mafra, Portugal;+351 261 816 500;;mafra;Google Maps
Espaço.Detalhes - Decoração de Interiores;Interior designer;R. dos Bombeiros Voluntários de Mafra 8A, 2640-462 Mafra, Portugal;+351 261 140 635;;mafra;Google Maps
Planimetrica - Arquitetura;Architect;;+351 21 986 1159;;mafra;Google Maps
Studio Suvelle;Graphic designer;R. da Coroa, 2640-573 Mafra, Portugal;+351 961 624 283;https://www.studiosuvelle.com/contacto;mafra;Google Maps
Rodrigues Design;Graphic designer;Rua Cidade Frehel, 8, 1º FR, 2640-469 Mafra, Portugal;+351 933 265 893;http://www.rodriguesdesign.pt/;mafra;Google Maps
Wild Renew;Interior designer;MAFRA PT, 2665-411 Venda do Pinheiro, Portugal;+351 910 236 619;https://sites.google.com;mafra;Google Maps
Companhia das Obras;Home builder;Av. Dr. Francisco Sá Carneiro 12, 2644-006 Mafra, Portugal;+351 261 858 671;http://www.companhiadasobras.pt/;mafra;Google Maps
SOA Arquitetura;Architect;;+351 916 001 958;http://soaarquitetos.wixsite.com/soaarquitetura;mafra;Google Maps
Pavilhão de Caça;Tourist attraction;Mafra, Portugal;;;mafra;Google Maps
ArchStudioEriceira;Architect;R. Filipe Duarte Portela 10, 2655-405 Ericeira, Portugal;+351 912 652 095;http://www.archstudioericeira.com/;mafra;Google Maps
Isabel Rodrigo Gonçalves, Arquitecta e Urbanista;Architect;;+351 965 461 170;http://www.ocupacaodaviapublica.pt/;mafra;Google Maps
