company_name;industry;address;phone;website;municipality;data_source
João Brandão . Margarida Gomes, Arquitectos.pt;Architect;Quinta da Mira Serra, Estr. de Janas, 2710-265 Sintra, Portugal;+351 21 928 0781;http://www.jbmg-arquitectos.pt/;sintra;Google Maps
Mão Livre Oficina de Design, Lda;Design agency;Av. Combatentes 78, Abrunheira, 2710-034 Sintra, Portugal;+351 21 469 7917;http://maolivre.com/;sintra;Google Maps
Projecto Uno;Architect;Av. Movimento das Forças Armadas 34 e 36 1.º Esq, Portela de Sintra, 2710-432 Sintra, Portugal;;https://www.anteprojectos.com.pt/empresa/1344/projecto-uno-projectos-urbanizacoes-e-construcao-lda/;sintra;Google Maps
Haus Collection Portugal;Interior Decorator;Av. 29 de Agosto 333, 2705-869 Sintra, Portugal;+351 910 755 595;https://hauscollection.pt/;sintra;Google Maps
Serra de Sintra;Landscaper;2710, Sintra, Portugal;;;sintra;Google Maps
Urban Obras;Architecture firm;Av. Combatentes da Grande Guerra 95 B, 1495-040 Algés, Portugal;+351 21 822 5145;https://www.urbanobras.pt/orcamento/;sintra;Google Maps
Thiago Braddell-Arquitectura, Lda.;Architect;R. Dr. Leão de Oliveira, 2710, R. Dr. Leão de Oliveira 20E, Sintra, Portugal;+351 21 923 3670;http://www.thiagobraddell.pt/;sintra;Google Maps
Fernanda Schau Interiores;Interior designer;;+55 21 99931-5243;https://fernandaschau.com/;sintra;Google Maps
Ameixa Arquitectos;Architect;Praça Dom Afonso V 5 Loja 9, 2710-521 Sintra, Portugal;+351 960 083 856;;sintra;Google Maps
TAS ARCHITECTS;Architect;Largo Perfume nr 11, 2710-495 Sintra, Portugal;+351 918 627 903;http://www.tas-architects.org/;sintra;Google Maps
bloco6 - arquitectos;Architect;Rua dos Navegantes, 5 r/c A, Beloura Business Center, 2710-144 Sintra, Portugal;+351 21 192 7771;http://www.bloco6.com/;sintra;Google Maps
AFR - Arquitectura & Urbanismo Lda;Architect;R. Mato das Cruzadas 3B 1D, 2710-701 Sintra, Portugal;+351 917 305 099;http://www.afr-arquitectos.com/;sintra;Google Maps
InsightHome;Remodeler;Av. Dr. Desidério Cambournac 12, 2710-553 Sintra, Portugal;+351 927 375 625;;sintra;Google Maps
Alexandra Gil - Arquitectura De Interiores, Lda;Architect;Escadinhas Dom Fernando Ii, Lt. 1, 1º Dto., São Pedro De Sintra, Lisboa, Portugal, 2710-482 S. Pedro de Penaferrim, Portugal;+351 21 910 8011;;sintra;Google Maps
ARQSCJF - Arquitetura Engenharia e Construção, Lda;Architect;Alameda Beloura, 2710-706 Sintra, Portugal;+351 916 235 533;http://www.arqscjf.pt/;sintra;Google Maps
Piramidal - Design De Interiores, Lda.;Interior designer;R. Alto da Bonita 142, 2710-185 Sintra, Portugal;+351 21 595 2223;http://www.piramidal.pt/;sintra;Google Maps
Arion - Mobiliario E Decoração, Lda.;Textile exporter;R. Vale Flores Pav. E, 2710-632 Sintra, Portugal;+351 21 924 6309;;sintra;Google Maps
Pelourinho de Sintra;Historical landmark;2710-631 Sintra, Portugal;;http://paisagemcultural.sintra.pt/patrimonio/outro-patrimonio/arquitetura-publica/258-pelourinho-de-sintra;sintra;Google Maps
Casa dos Penedos;Event venue;R. Mal. Saldanha 21, 2710-631 Sintra, Portugal;+351 21 924 9006;https://penhalongacatering.com;sintra;Google Maps
Regaleira Tower;Historical place;Ac. Particular 3, 2710-567 Sintra, Portugal;;https://www.regaleira.pt/pt;sintra;Google Maps
Pena;Mountain peak;2710-609 Sintra, Portugal;;;sintra;Google Maps
LAYOUT BOX, LDA.;Architect;Tv. Lavrador 2, 2710-418 Sintra, Portugal;+351 21 924 3390;http://www.layoutbox.pt/;sintra;Google Maps
FormaStudio;Building materials market;Centro Empresarial Sintra Estoril VI, Impasse Fernão Lopes 11 Armazém N, 2710-694 Sintra, Portugal;+351 21 923 4310;;sintra;Google Maps
Paisageiro;Landscape architect;R. Murtas 2 1D, 2710-593 Sintra, Portugal;+351 21 924 3025;https://paisageiro.com/#contactos;sintra;Google Maps
Actitur - Arquitectura E Engenharia, S.A.;Architect;Rua Da Impala º 33 A, Abrunheira, 2710-070 Sintra, Portugal;+351 21 923 8050;;sintra;Google Maps
STUDIO ID - Interiors;Interior designer;;+351 917 263 818;;sintra;Google Maps
Arquiprodete;Architect;Av. Heliodoro Salgado 44 1 Direito, 2710-573 Sintra, Portugal;+351 962 810 514;http://www.arquiprodete.pt/;sintra;Google Maps
Pavilhão 3;Party planner;R. Pé de Mouro 44, Linhó, 2710-335 Sintra, Portugal;+351 21 466 8349;http://www.pavilhao3.com/;sintra;Google Maps
Terrapalha - arquitectura e construção natural;Architect;Calçada Santa Bárbara 5, Penedo, 2705-265 Colares, Portugal;+351 933 291 112;http://www.terrapalha.com/;sintra;Google Maps
Fonte Mourisca;Historical landmark;Volta do Duche, 2710-631 Sintra, Portugal;;https://visitsintra.travel/pt/sintra-antiga/02b-fonte-mourisca;sintra;Google Maps
Arquiurb - Arquitectura e Urbanismo, Lda.;Architect;R. Domingos Lavos Fernandes 16, 2715-311 Pêro Pinheiro, Portugal;+351 21 927 1500;;sintra;Google Maps
Cruz & Manuel Home Decoration;Interior designer;Rua Charneca de Cima Armazém D, 2710-456 Sintra, Portugal;+351 21 012 6756;;sintra;Google Maps
LBHA Brands Limitada;Building firm;R. Centro Empresarial 3 3A, Q.ta da Beloura, 2710-001 Sintra, Portugal;+351 21 060 5923;http://www.lbhabrands.com/;sintra;Google Maps
Movicidade Estudos e Equipamentos Urbanos Lda;Architecture firm;Estr. Real N.29 Pav. A, 2710-450 Sintra, Portugal;+351 21 363 2199;http://www.movicidade.com/;sintra;Google Maps
FSWorks, Arquitectura & Design Lda;Architect;Tv. Esperança 4, 2635-122 Rio de Mouro, Portugal;+351 964 659 306;https://www.fsworks.pt/;sintra;Google Maps
ESQUISSOS - ARQUITECTURA e CONSULTORIA;Architect;Av. Manuel Simões Carrasqueira 39 Piso 1, 2715-099 Pêro Pinheiro, Portugal;+351 21 967 2387;http://www.esquissos.net/;sintra;Google Maps
