company_name;industry;address;phone;website;municipality;data_source
CedroStudio - Atelier de Arquitectura - Mariana de Meneses Rebelo;Architect;Rua Dr. Gomes Leal 3A, 2560-331 Torres Vedras, Portugal;+351 918 808 215;http://www.cedrostudio.pt/;torres_vedras;Google Maps
Confluir Studio Arquitetura;Architect;R. Dias Neiva 17A, 2560-319 Torres Vedras, Portugal;+351 938 155 509;http://www.confluir-studio.com/;torres_vedras;Google Maps
Madalena Pereira arquitectura;Architect;R. Guilherme Gomes Fernandes 9A, 2560-319 Torres Vedras, Portugal;+351 261 060 324;http://www.madalenapereira.com/;torres_vedras;Google Maps
CRAD Studio;Architect;Edifício Vila Expo, R. Raimundo Porta Bloco A 2 Esq.º, 2560-692 Torres Vedras, Portugal;+351 969 070 113;http://cradstudio.com/;torres_vedras;Google Maps
Involve Arquitectos;Architect;R. 1º de Dezembro 4, 2560-300 Torres Vedras, Portugal;+351 969 873 444;http://involvearq.com/;torres_vedras;Google Maps
.XPRESSION;Architect;R. António França Borges 1 1° andar, 2560-270 Torres Vedras, Portugal;+351 261 144 065;https://www.xpression.pt/contactos;torres_vedras;Google Maps
Amadeu - Arquitectura e Engenharia;Architect;R. Dr. Aleixo Ferreira 7 A, 2560-672 Torres Vedras, Portugal;+351 261 311 291;http://www.simaomonteiro.com/;torres_vedras;Google Maps
PLANIVAZA;Architecture firm;Galerias Avenida, Av. 5 de Outubro 30 Loja 13, 2560-270 Torres Vedras, Portugal;+351 261 092 973;;torres_vedras;Google Maps
Arqui19 | Arquitetura;Architect;Edifício Vila Expo, R. Raimundo Porta Bloco A 1º Dto, 2560-692 Torres Vedras, Portugal;+351 969 215 692;https://arqui19.pt/;torres_vedras;Google Maps
Studio 215;Architecture firm;R. Ana Maria Bastos 3, 2560-295 Torres Vedras, Portugal;;;torres_vedras;Google Maps
Find & Choose, office of architecture;Corporate office;R. Campo da Várzea 13, 2560-636 Torres Vedras, Portugal;+351 261 314 268;http://www.moreirapintoatelier.pt/;torres_vedras;Google Maps
imagin3D;Architect;Rua dos Bombeiros Voluntários 6, 2560-320 Torres Vedras, Portugal;+351 918 225 897;https://imagin3d.crevado.com/;torres_vedras;Google Maps
UCA: United Concepts of Architecture;Architect;R. DR AFONSO MOURA GUEDES 5 R/Ch Posterior, 2560-594 Torres Vedras, Portugal;+351 968 391 750;;torres_vedras;Google Maps
home.arquitectura;Architect;Rua Francisco do Rego, Bloco 1 R/Chao esquerdo, 2560-575 Torres Vedras, Portugal;+351 918 762 814;;torres_vedras;Google Maps
Tanto Espaço;Architect;Rua Dr. Gomes Leal 3A, 2560-331 Torres Vedras, Portugal;+351 914 820 940;https://www.tantoespaco.com/;torres_vedras;Google Maps
L.Moreira Pinto-Atelier De Arquitectura, Unipessoal, Lda.;Architect;R. Henriques Nogueira 55, 2560-324 Torres Vedras, Portugal;+351 261 314 268;;torres_vedras;Google Maps
maba - Fotografia, Vídeo e Design;Photographer;Sem espaço físico, 2565-432 Torres Vedras, Portugal;+351 926 360 925;;torres_vedras;Google Maps
AS Design de Interiores;Interior designer;R. Luís Augusto Albino, 2560-280 Torres Vedras, Portugal;+351 261 314 048;https://www.instagram.com/interior_as_design/;torres_vedras;Google Maps
Studio E X I T // Casas Modulares;Architecture;Torres Vedras, 2560-657 Lisboa, Portugal;+351 961 106 289;http://www.facebook.com/arch.exit;torres_vedras;Google Maps
O Pormenor;Interior designer;R. José Eduardo César 4, 2560-680 Torres Vedras, Portugal;+351 261 311 331;https://opormenor.com/contactos/;torres_vedras;Google Maps
Civilrem, Construção e Remodelação;Dock builder;Torres Vedras, Portugal;+351 961 352 325;https://civilrem.pt/;torres_vedras;Google Maps
Gabinete de Arquitectura - CV Cláudia Vinagre;Interior architect office;R. José Eduardo César, 2560-661 Torres Vedras, Portugal;+351 912 121 781;;torres_vedras;Google Maps
Esboço Cúbico - Arquitectura E Construção, Lda.;Architect;R. Dom Manuel II 16, 2560-016 A dos Cunhados, Portugal;+351 261 981 441;;torres_vedras;Google Maps
Bárbara Monteiro - Interior design;Interior designer;2560-300 Torres Vedras, Portugal;;;torres_vedras;Google Maps
